Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,System Flow,,Pressure,,Fraction,,Injection,,Run Log,,
ml,mAU,ml,mS/cm,ml,%B,ml,ml/min,ml,MPa,ml,Fraction,ml,Injection,ml,Logbook,
0.001,344.9079,0.001,0.27,0.001,0,0.001,1,0.001,0,52.2231,"T1",6.0168,"",0,"Manual Run 10/18/2024 1:57:23 PM +08:00 Result: /DefaultHome/20241018/Desalting-Group5+6-AKTA-20241018 User Default at computer DESKTOP-HA6J05R is in control (Manual)",
0.008,344.93,0.008,0.27,0.008,0,0.008,1,0.008,0,52.7232,"T2",,,0,"Instrument information:SystemName = ( 00000000000002527050), FW Version = ( V3.00.00 )",
0.015,344.9494,0.015,0.27,0.015,0,0.015,1,0.015,0,53.7267,"T3",,,0,"SampleValve Buffer",
0.022,344.97,0.022,0.27,0.022,0,0.022,1,0.022,0,54.7303,"T4",,,0,"Fractionation\Peak collection stopped",
0.029,344.9866,0.029,0.27,0.029,0,0.029,1,0.029,0,55.7305,"T5",,,0,"Pause Infinite min 10/18/2024 2:01:15 PM +08:00",
0.036,344.99,0.036,0.27,0.036,0,0.036,1,0.036,0,56.724,"T6",,,0,"Pause Infinite min 10/18/2024 2:01:16 PM +08:00",
0.043,345.0272,0.043,0.27,0.043,0,0.043,1,0.043,0,57.7276,"T7",,,0,"Flow Rate 5.0 {ml/min}",
0.05,345.03,0.05,0.27,0.05,0,0.05,1,0.05,0,58.7311,"T8",,,0,"Flow Rate 5.0 {ml/min}",
0.057,345.07,0.057,0.27,0.057,0,0.057,1,0.057,0,59.7313,"T9",,,0,"Flow Rate 1.0 {ml/min}",
0.064,345.0716,0.064,0.27,0.064,0,0.064,1,0.064,0,60.7282,"T10",,,0,"Continue 10/18/2024 2:01:54 PM +08:00",
0.071,345.1,0.071,0.27,0.071,0,0.071,1,0.071,0,61.7284,"T11",,,4.9967,"Pause Infinite min 10/18/2024 2:06:54 PM +08:00",
0.078,345.1071,0.078,0.27,0.078,0,0.078,1,0.078,-0.003528752,62.732,"T12",,,5,"Pause Infinite min 10/18/2024 2:06:54 PM +08:00",
0.085,345.14,0.085,0.27,0.085,0,0.085,1,0.085,-0.01,63.7322,"T13",,,5,"Continue 10/18/2024 2:07:40 PM +08:00",
0.092,345.1508,0.092,0.27,0.092,0,0.092,1,0.092,-0.01,64.0523,"Waste",,,5.0134,"WashValve Column",
0.099,345.17,0.099,0.27,0.099,0,0.099,1,0.099,-0.01,65.3991,"Waste",,,6.0001,"Pause Infinite min 10/18/2024 2:08:41 PM +08:00",
0.106,345.2025,0.106,0.27,0.106,0,0.106,1,0.106,-0.01,,,,,6.0168,"Pause Infinite min 10/18/2024 2:08:42 PM +08:00",
0.113,345.21,0.113,0.27,0.113,0,0.113,1,0.113,-0.01,,,,,6.0168,"InjectionMark",
0.12,345.2479,0.12,0.27,0.12,0,0.12,1,0.12,-0.01,,,,,6.0168,"Continue 10/18/2024 2:15:03 PM +08:00",
0.127,345.2505,0.127,0.27,0.127,0,0.127,1,0.127,-0.009548387,,,,,8.9135,"Flow Rate 5.0 {ml/min}",
0.134,345.29,0.134,0.27,0.134,0,0.134,1,0.134,0,,,,,36.4464,"Pause Infinite min 10/18/2024 2:23:28 PM +08:00",
0.141,345.2945,0.141,0.27,0.141,0,0.141,1,0.141,0,,,,,36.5131,"Pause Infinite min 10/18/2024 2:23:29 PM +08:00",
0.148,345.33,0.148,0.27,0.148,0,0.148,1,0.148,0,,,,,36.5131,"Continue 10/18/2024 2:35:42 PM +08:00",
0.155,345.343,0.155,0.27,0.155,0,0.155,1,0.155,0,,,,,45.6629,"Pause Infinite min 10/18/2024 2:37:32 PM +08:00",
0.162,345.38,0.162,0.27,0.162,0,0.162,1,0.162,0,,,,,45.6796,"Pause Infinite min 10/18/2024 2:37:32 PM +08:00",
0.169,345.3987,0.169,0.27,0.169,0,0.169,1,0.169,0,,,,,45.6796,"Continue 10/18/2024 2:38:15 PM +08:00",
0.176,345.42,0.176,0.27,0.176,0,0.176,1,0.176,0,,,,,51.4795,"Pause Infinite min 10/18/2024 2:39:25 PM +08:00",
0.183,345.4464,0.183,0.27,0.183,0,0.183,1,0.183,0,,,,,51.5128,"Pause Infinite min 10/18/2024 2:39:26 PM +08:00",
0.19,345.47,0.19,0.27,0.19,0,0.19,1,0.19,0,,,,,51.5128,"Continue 10/18/2024 2:50:10 PM +08:00",
0.197,345.5103,0.197,0.27,0.197,0,0.197,1,0.197,0,,,,,51.6962,"Flow Rate 1.0 {ml/min}",
0.204,345.5211,0.204,0.27,0.204,0,0.204,1,0.204,0,,,,,52.0062,"Pause Infinite min 10/18/2024 2:50:31 PM +08:00",
0.211,345.56,0.211,0.27,0.211,0,0.211,1,0.211,0,,,,,52.0096,"Pause Infinite min 10/18/2024 2:50:32 PM +08:00",
0.218,345.5663,0.218,0.27,0.218,0,0.218,1,0.218,0,,,,,52.0096,"Continue 10/18/2024 2:51:10 PM +08:00",
0.225,345.6,0.225,0.27,0.225,0,0.225,1,0.225,0,,,,,51.5429,"OutletValve Collection",
0.232,345.61,0.232,0.27,0.232,0,0.232,1,0.232,0,,,,,52.6997,"Fractionation 1.0 {ml}",
0.239,345.64,0.239,0.27,0.239,0,0.239,1,0.239,0,,,,,52.2297,"Delay volume collection started",
0.246,345.6684,0.246,0.27,0.246,0,0.246,1,0.246,0,,,,,52.7232,"Fractionation\Peak collection started",
0.253,345.69,0.253,0.27,0.253,0,0.253,1,0.253,0,,,,,64.0188,"Stop fractionation",
0.26,345.7078,0.26,0.27,0.26,0,0.26,1,0.26,0,,,,,64.2189,"WARNING 15: Instruction ignored,Outlet valve\Wash valve changes not allowed during fractionation",
0.267,345.7201,0.267,0.27,0.267,0,0.267,1,0.267,0,,,,,64.4389,"<ACK> Default WARNING 15: Instruction ignored,Outlet valve\Wash valve changes not allowed during fractionation has been acknowledged",
0.274,345.7509,0.274,0.27,0.274,0,0.274,1,0.274,0,,,,,64.0523,"OutletValve Waste",
0.281,345.7618,0.281,0.27,0.281,0,0.281,1,0.281,0,,,,,64.0523,"Fractionation\Peak collection stopped",
0.288,345.783,0.288,0.27,0.288,0,0.288,1,0.288,0,,,,,65.3858,"Pause Infinite min 10/18/2024 3:04:32 PM +08:00",
0.295,345.7939,0.295,0.27,0.295,0,0.295,1,0.295,0,,,,,65.3991,"Pause Infinite min 10/18/2024 3:04:34 PM +08:00",
0.302,345.82,0.302,0.27,0.302,0,0.302,1,0.302,0,,,,,65.3991,"BufferValve Buffer A",
0.309,345.8258,0.309,0.27,0.309,0,0.309,1,0.309,0,,,,,65.3991,"SampleValve Buffer",
0.316,345.85,0.316,0.27,0.316,0,0.316,1,0.316,0,,,,,65.3991,"WashValve Waste",
0.323,345.8656,0.323,0.27,0.323,0,0.323,1,0.323,0,,,,,65.3991,"OutletValve Waste",
0.33,345.89,0.33,0.27,0.33,0,0.33,1,0.33,0,,,,,65.3991,"End 10/18/2024 3:06:48 PM +08:00",
0.337,345.9097,0.337,0.27,0.337,0,0.337,1,0.337,0,,,,,,,
0.344,345.92,0.344,0.27,0.344,0,0.344,1,0.344,0,,,,,,,
0.351,345.9417,0.351,0.27,0.351,0,0.351,1,0.351,0,,,,,,,
0.358,345.95,0.358,0.27,0.358,0,0.358,1,0.358,0,,,,,,,
0.365,345.99,0.365,0.27,0.365,0,0.365,1,0.365,-0.01,,,,,,,
0.371,345.9946,0.371,0.27,0.371,0,0.371,1,0.371,-0.01,,,,,,,
0.378,346.02,0.378,0.27,0.378,0,0.378,1,0.378,-0.01,,,,,,,
0.385,346.0267,0.385,0.27,0.385,0,0.385,1,0.385,-0.01,,,,,,,
0.392,346.05,0.392,0.27,0.392,0,0.392,1,0.392,-0.01,,,,,,,
0.399,346.0585,0.399,0.27,0.399,0,0.399,1,0.399,-0.01,,,,,,,
0.406,346.08,0.406,0.27,0.406,0,0.406,1,0.406,-0.01,,,,,,,
0.413,346.0905,0.413,0.27,0.413,0,0.413,1,0.413,-0.01,,,,,,,
0.42,346.1,0.42,0.27,0.42,0,0.42,1,0.42,-0.01,,,,,,,
0.427,346.1123,0.427,0.27,0.427,0,0.427,1,0.427,-0.01,,,,,,,
0.434,346.12,0.434,0.27,0.434,0,0.434,1,0.434,-0.01,,,,,,,
0.441,346.14,0.441,0.27,0.441,0,0.441,1,0.441,-0.01,,,,,,,
0.448,346.1453,0.448,0.27,0.448,0,0.448,1,0.448,-0.01,,,,,,,
0.455,346.16,0.455,0.27,0.455,0,0.455,1,0.455,-0.01,,,,,,,
0.462,346.1674,0.462,0.27,0.462,0,0.462,1,0.462,-0.01,,,,,,,
0.469,346.18,0.469,0.27,0.469,0,0.469,1,0.469,-0.01,,,,,,,
0.476,346.1892,0.476,0.27,0.476,0,0.476,1,0.476,-0.01,,,,,,,
0.483,346.2,0.483,0.27,0.483,0,0.483,1,0.483,-0.01,,,,,,,
0.49,346.21,0.49,0.27,0.49,0,0.49,1,0.49,-0.01,,,,,,,
0.497,346.21,0.497,0.27,0.497,0,0.497,1,0.497,-0.01,,,,,,,
0.504,346.2232,0.504,0.27,0.504,0,0.504,1,0.504,-0.01,,,,,,,
0.511,346.23,0.511,0.27,0.511,0,0.511,1,0.511,-0.01,,,,,,,
0.518,346.23,0.518,0.27,0.518,0,0.518,1,0.518,-0.01,,,,,,,
0.525,346.23,0.525,0.27,0.525,0,0.525,1,0.525,-0.01,,,,,,,
0.532,346.24,0.532,0.27,0.532,0,0.532,1,0.532,-0.01,,,,,,,
0.539,346.2481,0.539,0.27,0.539,0,0.539,1,0.539,-0.01,,,,,,,
0.546,346.26,0.546,0.27,0.546,0,0.546,1,0.546,-0.01,,,,,,,
0.553,346.26,0.553,0.27,0.553,0,0.553,1,0.553,-0.01,,,,,,,
0.56,346.26,0.56,0.27,0.56,0,0.56,1,0.56,-0.01,,,,,,,
0.567,346.27,0.567,0.27,0.567,0,0.567,1,0.567,-0.01,,,,,,,
0.574,346.27,0.574,0.2730445,0.574,0,0.574,1,0.574,-0.01,,,,,,,
0.581,346.274,0.581,0.28,0.581,0,0.581,1,0.581,0,,,,,,,
0.588,346.28,0.588,0.274914,0.588,0,0.588,1,0.588,0,,,,,,,
0.595,346.2859,0.595,0.28,0.595,0,0.595,1,0.595,0,,,,,,,
0.602,346.29,0.602,0.28,0.602,0,0.602,1,0.602,0,,,,,,,
0.609,346.29,0.609,0.28,0.609,0,0.609,1,0.609,0,,,,,,,
0.616,346.29,0.616,0.28,0.616,0,0.616,1,0.616,0,,,,,,,
0.623,346.3,0.623,0.28,0.623,0,0.623,1,0.623,0,,,,,,,
0.63,346.3008,0.63,0.28,0.63,0,0.63,1,0.63,0,,,,,,,
0.637,346.31,0.637,0.28,0.637,0,0.637,1,0.637,0,,,,,,,
0.644,346.31,0.644,0.28,0.644,0,0.644,1,0.644,0,,,,,,,
0.651,346.31,0.651,0.28,0.651,0,0.651,1,0.651,0,,,,,,,
0.658,346.3147,0.658,0.28,0.658,0,0.658,1,0.658,0,,,,,,,
0.665,346.32,0.665,0.28,0.665,0,0.665,1,0.665,-0.01,,,,,,,
0.672,346.32,0.672,0.28,0.672,0,0.672,1,0.672,-0.01,,,,,,,
0.679,346.32,0.679,0.28,0.679,0,0.679,1,0.679,-0.01,,,,,,,
0.686,346.33,0.686,0.28,0.686,0,0.686,1,0.686,-0.01,,,,,,,
0.693,346.33,0.693,0.28,0.693,0,0.693,1,0.693,-0.01,,,,,,,
0.7,346.33,0.7,0.28,0.7,0,0.7,1,0.7,0,,,,,,,
0.707,346.3416,0.707,0.28,0.707,0,0.707,1,0.707,0,,,,,,,
0.714,346.35,0.714,0.28,0.714,0,0.714,1,0.714,0,,,,,,,
0.721,346.35,0.721,0.28,0.721,0,0.721,1,0.721,0,,,,,,,
0.728,346.36,0.728,0.28,0.728,0,0.728,1,0.728,0,,,,,,,
0.735,346.3655,0.735,0.28,0.735,0,0.735,1,0.735,0,,,,,,,
0.742,346.37,0.742,0.28,0.742,0,0.742,1,0.742,0,,,,,,,
0.749,346.38,0.749,0.28,0.749,0,0.749,1,0.749,0,,,,,,,
0.756,346.38,0.756,0.28,0.756,0,0.756,1,0.756,0,,,,,,,
0.763,346.3896,0.763,0.28,0.763,0,0.763,1,0.763,0,,,,,,,
0.77,346.3905,0.77,0.28,0.77,0,0.77,1,0.77,0,,,,,,,
0.777,346.41,0.777,0.28,0.777,0,0.777,1,0.777,0.001349516,,,,,,,
0.784,346.4125,0.784,0.28,0.784,0,0.784,1,0.784,0.01,,,,,,,
0.791,346.42,0.791,0.28,0.791,0,0.791,1,0.791,0.01,,,,,,,
0.798,346.42,0.798,0.28,0.798,0,0.798,1,0.798,0.01,,,,,,,
0.805,346.42,0.805,0.28,0.805,0,0.805,1,0.805,0.01,,,,,,,
0.812,346.43,0.812,0.28,0.812,0,0.812,1,0.812,0.01,,,,,,,
