Method,Enzyme_Activity_tot,Enzyme_Activity_avg,Enzyme_Activity_avg_norm,S_estimate,R_squared,Method_Group,Day,Group,Name,Id
Electric homogenizer,0.119100091,0.03970003,0.036045276,0.289440231,0.999328216,0,Mon,5,1cda05fa,2100012263
Glass homogenizer,0.110761616,0.036920539,0.033521662,0.262387861,0.999793017,0,Mon,5,1cda05fa,2100012263
Bead mill homogenizer,0.111655616,0.037218539,0.033792229,0.25386093,0.999799211,0,Mon,5,1cda05fa,2100012263
pH6.0,0.085814605,0.028604868,0.025971526,0.191975651,0.999939744,1,Mon,5,1cda05fa,2100012263
pH6.5,0.119100091,0.03970003,0.036045276,0.289440231,0.999328216,1,Mon,5,1cda05fa,2100012263
pH7.0,0.167120115,0.055706705,0.050578389,0.339834107,0.999770133,1,Mon,5,1cda05fa,2100012263
pH7.5,0.192324701,0.064108234,0.058206479,0.459243778,0.999474863,1,Mon,5,1cda05fa,2100012263
Electric homogenizer,0.104693249,0.03489775,0.037660598,0.269270785,0.999834426,0,Tue,4,cbe2b7e4,2000011047
Glass homogenizer,0.101255892,0.033751964,0.036424101,0.202592211,0.999938141,0,Tue,4,cbe2b7e4,2000011047
Bead mill homogenizer,0.08844139,0.029480463,0.031814426,0.19231427,0.999930779,0,Tue,4,cbe2b7e4,2000011047
pH6.0,0.049108999,0.016369666,0.01766565,0.141103991,0.99981105,1,Tue,4,cbe2b7e4,2000011047
pH6.5,0.104693249,0.03489775,0.037660598,0.269270785,0.999834426,1,Tue,4,cbe2b7e4,2000011047
pH7.0,0.111921954,0.037307318,0.040260932,0.213347872,0.999679505,1,Tue,4,cbe2b7e4,2000011047
pH7.5,0.128253017,0.042751006,0.046135595,0.28783045,0.998976945,1,Tue,4,cbe2b7e4,2000011047
Electric homogenizer,0.12844597,0.042815323,0.046205005,0.220532819,0.999876004,0,Tue,4,1bd2c03b,2100012164
Glass homogenizer,0.118871655,0.039623885,0.042760901,0.219006087,0.99987094,0,Tue,4,1bd2c03b,2100012164
Bead mill homogenizer,0.092032173,0.030677391,0.033106115,0.15221606,0.999517579,0,Tue,4,1bd2c03b,2100012164
pH6.0,0.079963241,0.026654414,0.028764639,0.169491738,0.999962792,1,Tue,4,1bd2c03b,2100012164
pH6.5,0.118871655,0.039623885,0.042760901,0.219006087,0.99987094,1,Tue,4,1bd2c03b,2100012164
pH7.0,0.151341539,0.05044718,0.054441074,0.318270879,0.999882289,1,Tue,4,1bd2c03b,2100012164
pH7.5,0.136186613,0.045395538,0.048989494,0.290909103,0.999582551,1,Tue,4,1bd2c03b,2100012164
pH6.0,0.079840417,0.026613472,0.028720456,0.169393919,0.999973377,1,Tue,4,20451b8d,2100012253
Electric homogenizer,0.126257095,0.042085698,0.040869358,0.186764589,0.999227836,0,Tue,3,905549bc,2100012147
Glass homogenizer,0.127411267,0.042470422,0.041242963,0.220147487,0.999729447,0,Tue,3,905549bc,2100012147
Bead mill homogenizer,0.112594543,0.037531514,0.036446797,0.204918737,0.999835615,0,Tue,3,905549bc,2100012147
pH6.0,0.073766562,0.024588854,0.023878199,0.155608534,0.999913135,1,Tue,3,905549bc,2100012147
pH6.5,0.127411267,0.042470422,0.041242963,0.220147487,0.999729447,1,Tue,3,905549bc,2100012147
pH7.0,0.159872482,0.053290827,0.051750642,0.293869263,0.999845768,1,Tue,3,905549bc,2100012147
pH7.5,0.149440101,0.049813367,0.048373686,0.28893232,0.999856004,1,Tue,3,905549bc,2100012147
Electric homogenizer,0.118571864,0.039523955,0.040844484,0.202140754,0.999672762,0,Fri,6,c0236331,2000012264
Glass homogenizer,0.11779698,0.03926566,0.04057756,0.204150387,0.999729911,0,Fri,6,c0236331,2000012264
Bead mill homogenizer,0.096932013,0.032310671,0.033390198,0.181375429,0.999694031,0,Fri,6,c0236331,2000012264
pH6.0,0.081871722,0.027290574,0.028202376,0.144526251,0.999609929,1,Fri,6,c0236331,2000012264
pH6.5,0.11779698,0.03926566,0.04057756,0.204150387,0.999729911,1,Fri,6,c0236331,2000012264
pH7.0,0.132506543,0.044168848,0.045644567,0.232460499,0.999883111,1,Fri,6,c0236331,2000012264
pH7.5,0.137852765,0.045950922,0.047486182,0.243486103,0.99997011,1,Fri,6,c0236331,2000012264
Electric homogenizer,0.087461252,0.029153751,0.030876202,0.228082729,0.99992883,0,Fri,1,2a1d00fe,2100013209
Glass homogenizer,0.096729765,0.032243255,0.034148239,0.233087792,0.999836696,0,Fri,1,2a1d00fe,2100013209
Bead mill homogenizer,0.06468339,0.02156113,0.022834997,0.271914012,0.999741036,0,Fri,1,2a1d00fe,2100013209
pH6.0,0.061578667,0.020526222,0.021738945,0.116147954,0.999126533,1,Fri,1,2a1d00fe,2100013209
pH6.5,0.096729765,0.032243255,0.034148239,0.233087792,0.999836696,1,Fri,1,2a1d00fe,2100013209
pH7.0,0.141960677,0.047320226,0.050115982,0.26197312,0.999885236,1,Fri,1,2a1d00fe,2100013209
pH7.5,0.124489619,0.04149654,0.043948223,0.306436031,0.999890317,1,Fri,1,2a1d00fe,2100013209
Electric homogenizer,0.140106532,0.046702177,0.048132705,0.235761153,0.999866899,0,Tue,6,aa115da0,2100012106
Glass homogenizer,0.114592996,0.038197665,0.039367693,0.21361762,0.999905236,0,Tue,6,aa115da0,2100012106
Bead mill homogenizer,0.100947206,0.033649069,0.034679768,0.183308501,0.999944925,0,Tue,6,aa115da0,2100012106
pH6.0,0.074586293,0.024862098,0.025623645,0.162381877,0.999875251,1,Tue,6,aa115da0,2100012106
pH6.5,0.100947206,0.033649069,0.034679768,0.183308501,0.999944925,1,Tue,6,aa115da0,2100012106
pH7.0,0.124557593,0.041519198,0.042790967,0.25066816,0.999916373,1,Tue,6,aa115da0,2100012106
pH7.5,0.138526626,0.046175542,0.047589939,0.254735906,0.99994116,1,Tue,6,aa115da0,2100012106
Electric homogenizer,0.091455814,0.030485271,0.039459463,0.201143218,0.999969557,0,Tue,5,e38e0f14,2100012179
Glass homogenizer,0.090324584,0.030108195,0.038971383,0.210606929,0.999385363,0,Tue,5,e38e0f14,2100012179
Bead mill homogenizer,0.083699821,0.02789994,0.036113068,0.240206812,0.999707843,0,Tue,5,e38e0f14,2100012179
pH6.0,0.058502046,0.019500682,0.025241253,0.147513102,0.999985168,1,Tue,5,e38e0f14,2100012179
pH6.5,0.091455814,0.030485271,0.039459463,0.201143218,0.999969557,1,Tue,5,e38e0f14,2100012179
pH7.0,0.104888652,0.034962884,0.045255187,0.27976783,0.999847099,1,Tue,5,e38e0f14,2100012179
pH7.5,0.116282118,0.038760706,0.050171004,0.323156877,0.999899485,1,Tue,5,e38e0f14,2100012179
Electric homogenizer,0.09116448,0.03038816,0.028604026,0.208088128,0.999961321,0,Mon,1,4e739370,2100011780
Glass homogenizer,0.10203529,0.034011763,0.032014883,0.198635399,0.999959388,0,Mon,1,4e739370,2100011780
Bead mill homogenizer,0.117525706,0.039175235,0.0368752,0.248748111,0.99973296,0,Mon,1,4e739370,2100011780
pH6.0,0.108748861,0.03624962,0.034121352,0.196044646,0.999857424,1,Mon,1,4e739370,2100011780
pH6.5,0.117525706,0.039175235,0.0368752,0.248748111,0.99973296,1,Mon,1,4e739370,2100011780
pH7.0,0.152033308,0.050677769,0.047702403,0.282206294,0.999753375,1,Mon,1,4e739370,2100011780
pH7.5,0.150060025,0.050020008,0.04708326,0.272013729,0.99987595,1,Mon,1,4e739370,2100011780
Electric homogenizer,0.102216732,0.034072244,0.035210627,0.230291339,0.999793038,0,Fri,6,992e43bf,2000012624
Glass homogenizer,0.100330324,0.033443441,0.034560815,0.195685507,0.99987498,0,Fri,6,992e43bf,2000012624
Bead mill homogenizer,0.086509037,0.028836346,0.029799793,0.199854473,0.999707224,0,Fri,6,992e43bf,2000012624
pH6.0,0.078993207,0.026331069,0.027210813,0.175198192,0.999878421,1,Fri,6,992e43bf,2000012624
pH6.5,0.102216732,0.034072244,0.035210627,0.230291339,0.999793038,1,Fri,6,992e43bf,2000012624
pH7.0,0.13965178,0.046550593,0.048105889,0.280577126,0.999892043,1,Fri,6,992e43bf,2000012624
pH7.5,0.140973264,0.046991088,0.048561101,0.29043014,0.999961086,1,Fri,6,992e43bf,2000012624
Electric homogenizer,0.129533477,0.043177826,0.045728842,0.241671434,0.999742452,0,Fri,1,91ad66fb,2100012288
Glass homogenizer,0.145166623,0.048388874,0.051247768,0.295233121,0.99970033,0,Fri,1,91ad66fb,2100012288
Bead mill homogenizer,0.112832589,0.037610863,0.039832974,0.253754739,0.999890528,0,Fri,1,91ad66fb,2100012288
pH6.0,0.070672388,0.023557463,0.024949276,0.157666979,0.99995123,1,Fri,1,91ad66fb,2100012288
pH6.5,0.112832589,0.037610863,0.039832974,0.253754739,0.999890528,1,Fri,1,91ad66fb,2100012288
pH7.0,0.12817256,0.042724187,0.045248401,0.261903916,0.999734313,1,Fri,1,91ad66fb,2100012288
pH7.5,0.154635536,0.051545179,0.054590551,0.317680262,0.999882601,1,Fri,1,91ad66fb,2100012288
Electric homogenizer,0.126868326,0.042289442,0.039688617,0.236759126,0.998770493,0,Fri,5,4644c7a6,2100012271
Glass homogenizer,0.092719369,0.030906456,0.029005691,0.17730472,0.99969261,0,Fri,5,4644c7a6,2100012271
Bead mill homogenizer,0.105605511,0.035201837,0.033036903,0.171793133,0.999338475,0,Fri,5,4644c7a6,2100012271
pH6.0,0.072368952,0.024122984,0.022639406,0.11413811,0.999334725,1,Fri,5,4644c7a6,2100012271
pH6.5,0.105605511,0.035201837,0.033036903,0.171793133,0.999338475,1,Fri,5,4644c7a6,2100012271
pH7.0,0.127707998,0.042569333,0.039951294,0.203416077,0.999322415,1,Fri,5,4644c7a6,2100012271
pH7.5,0.131560755,0.043853585,0.041156564,0.225975576,0.999485966,1,Fri,5,4644c7a6,2100012271
Electric homogenizer,0.121280196,0.040426732,0.037355615,0.262752491,0.999934585,0,Mon,4,4887e3a3,1900011619
Glass homogenizer,0.152839994,0.050946665,0.047076375,0.354164546,0.999743624,0,Mon,4,4887e3a3,1900011619
Bead mill homogenizer,0.142692781,0.04756426,0.043950923,0.261103576,0.999899145,0,Mon,4,4887e3a3,1900011619
pH6.0,0.086113534,0.028704511,0.026523902,0.192119307,0.999909068,1,Mon,4,4887e3a3,1900011619
pH6.5,0.121280196,0.040426732,0.037355615,0.262752491,0.999934585,1,Mon,4,4887e3a3,1900011619
pH7.0,0.127344093,0.042448031,0.039223361,0.283631771,0.999932363,1,Mon,4,4887e3a3,1900011619
pH7.5,0.145096154,0.048365385,0.044691188,0.307695179,0.999582359,1,Mon,4,4887e3a3,1900011619
Electric homogenizer,0.129080612,0.043026871,0.041064636,0.216458977,0.999890918,0,Fri,4,b08eac60,2100012280
Glass homogenizer,0.119984797,0.039994932,0.038170969,0.209113649,0.999722726,0,Fri,4,b08eac60,2100012280
Bead mill homogenizer,0.113852337,0.037950779,0.036220039,0.20894838,0.999836895,0,Fri,4,b08eac60,2100012280
pH6.0,0.090981116,0.030327039,0.028943978,0.166224949,0.999432143,1,Fri,4,b08eac60,2100012280
pH6.5,0.113852337,0.037950779,0.036220039,0.20894838,0.999836895,1,Fri,4,b08eac60,2100012280
pH7.0,0.1489157,0.049638567,0.047374806,0.269279163,0.999552518,1,Fri,4,b08eac60,2100012280
pH7.5,0.134680262,0.044893421,0.042846062,0.259977447,0.999743099,1,Fri,4,b08eac60,2100012280
Electric homogenizer,0.105180279,0.035060093,0.040712507,0.22444119,0.999951368,0,Mon,2,1eb16d05,1900094616
Glass homogenizer,0.095699776,0.031899925,0.037042855,0.213609835,0.999979767,0,Mon,2,1eb16d05,1900094616
Bead mill homogenizer,0.089874,0.029958,0.034787851,0.221426791,0.999952755,0,Mon,2,1eb16d05,1900094616
pH6.0,0.067077271,0.02235909,0.025963839,0.170516111,0.999909333,1,Mon,2,1eb16d05,1900094616
pH6.5,0.095699776,0.031899925,0.037042855,0.213609835,0.999979767,1,Mon,2,1eb16d05,1900094616
pH7.0,0.119420593,0.039806864,0.046224556,0.2795014,0.999850129,1,Mon,2,1eb16d05,1900094616
pH7.5,0.118319702,0.039439901,0.04579843,0.283234684,0.999850109,1,Mon,2,1eb16d05,1900094616
Electric homogenizer,0.093086198,0.031028733,0.032658424,0.229802984,0.999927454,0,Tue,1,d82d0d42,2100012173
Glass homogenizer,0.109390101,0.036463367,0.038378496,0.240393337,0.999789839,0,Tue,1,d82d0d42,2100012173
Bead mill homogenizer,0.134543937,0.044847979,0.047203485,0.246194628,0.999911351,0,Tue,1,d82d0d42,2100012173
pH6.0,0.066602135,0.022200712,0.023366738,0.165170683,0.999972758,1,Tue,1,d82d0d42,2100012173
pH6.5,0.109390101,0.036463367,0.038378496,0.240393337,0.999789839,1,Tue,1,d82d0d42,2100012173
pH7.0,0.114957128,0.038319043,0.040331636,0.248634546,0.999941378,1,Tue,1,d82d0d42,2100012173
pH7.5,0.101600405,0.033866802,0.035645554,0.233975048,0.999873668,1,Tue,1,d82d0d42,2100012173
Electric homogenizer,0.116550714,0.038850238,0.036569284,0.21122513,0.999727062,0,Mon,1,adfdea84,2100012156
Glass homogenizer,0.103617268,0.034539089,0.032511249,0.394243088,0.998983755,0,Mon,1,adfdea84,2100012156
Bead mill homogenizer,0.111614393,0.037204798,0.035020449,0.281103926,0.999741044,0,Mon,1,adfdea84,2100012156
pH6.0,0.085939568,0.028646523,0.026964643,0.182119213,0.999633828,1,Mon,1,adfdea84,2100012156
pH6.5,0.111614393,0.037204798,0.035020449,0.281103926,0.999741044,1,Mon,1,adfdea84,2100012156
pH7.0,0.12380283,0.04126761,0.038844728,0.330841555,0.999854408,1,Mon,1,adfdea84,2100012156
pH7.5,0.136604088,0.045534696,0.042861287,0.347573541,0.999932781,1,Mon,1,adfdea84,2100012156
Electric homogenizer,0.112466473,0.037488824,0.036405341,0.190743463,0.999464778,0,Tue,3,082b842c,2100012120
Glass homogenizer,0.111096709,0.037032236,0.035961949,0.206713092,0.999881122,0,Tue,3,082b842c,2100012120
Bead mill homogenizer,0.115419416,0.038473139,0.037361207,0.203458616,0.999532844,0,Tue,3,082b842c,2100012120
pH6.0,0.073015331,0.024338444,0.023635026,0.175064444,0.999803173,1,Tue,3,082b842c,2100012120
pH6.5,0.121608269,0.04053609,0.039364536,0.228019141,0.999783119,1,Tue,3,082b842c,2100012120
pH7.0,0.111096709,0.037032236,0.035961949,0.206713092,0.999881122,1,Tue,3,082b842c,2100012120
pH7.5,0.135230611,0.04507687,0.043774081,0.275988984,0.999593884,1,Tue,3,082b842c,2100012120
Electric homogenizer,0.156210352,0.052070117,0.041723568,0.303157492,0.999879646,0,Mon,3,6bae4267,2100012284
Glass homogenizer,0.13623132,0.04541044,0.036387196,0.321085554,0.999601496,0,Mon,3,6bae4267,2100012284
Bead mill homogenizer,0.148422595,0.049474198,0.039643469,0.330646032,0.999750736,0,Mon,3,6bae4267,2100012284
pH6.0,0.117765796,0.039255265,0.031455081,0.161977739,0.999813411,1,Mon,3,6bae4267,2100012284
pH6.5,0.13623132,0.04541044,0.036387196,0.321085554,0.999601496,1,Mon,3,6bae4267,2100012284
pH7.0,0.160016384,0.053338795,0.042740154,0.301339234,0.999935358,1,Mon,3,6bae4267,2100012284
pH7.5,0.195793276,0.065264425,0.052296112,0.409183182,0.999678983,1,Mon,3,6bae4267,2100012284
Electric homogenizer,0.071428354,0.023809451,0.030818429,0.226027594,0.999937744,0,Tue,5,635d94be,2100012287
Glass homogenizer,0.09072474,0.03024158,0.039144034,0.208747173,0.999936419,0,Tue,5,635d94be,2100012287
Bead mill homogenizer,0.084795996,0.028265332,0.036586023,0.171473854,0.999819013,0,Tue,5,635d94be,2100012287
pH6.0,0.060781617,0.020260539,0.026224795,0.143163275,0.999752064,1,Tue,5,635d94be,2100012287
pH6.5,0.09072474,0.03024158,0.039144034,0.208747173,0.999936419,1,Tue,5,635d94be,2100012287
pH7.0,0.104895815,0.034965272,0.045258277,0.248205652,0.999923463,1,Tue,5,635d94be,2100012287
