"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"GO:0031589","GO:0031589","cell-substrate adhesion","170/5064","361/18986",0.470914127423823,1.76555600775448,8.85694124698145,4.22845433784529e-17,2.67999435932634e-13,1.9820323333079e-13,"ITGA3/CX3CL1/PKD1/MYOC/VCL/GPM6B/ARHGAP6/VAMP3/PKP2/LIMCH1/SLK/COL17A1/ATXN3/ROCK1/ACTN1/LIMS2/FERMT2/CLASP1/NTN4/FBLN1/ITGA8/EPDR1/FAT2/SIGLEC1/PXN/LAMB1/ITGA6/ANGPT2/CCDC80/TRPM7/TYRO3/SORBS1/JAK2/ABL1/NRP1/PPM1F/TRIOBP/JAG1/ARHGEF7/OLFM4/CORO2B/SFRP1/CDK6/ITGB8/ECM2/KANK1/TESK1/DUSP3/BST1/TECTA/VWF/CORO1C/NEDD9/POPDC1/SRF/DUSP22/BCL6/NID1/CCN2/ITGB1BP1/TEK/TNN/SORBS3/HOXA7/WNT1/RRAS/MACF1/SGCE/KDR/MKLN1/HOXD3/ATP1B2/AJUBA/ITGB4/LYVE1/ROCK2/CD36/ITGA7/LAMC1/THSD1/TLN1/CCL21/SMAD6/PPFIA2/ACVRL1/FBLN5/CDH13/MINK1/CCN1/ITGA10/WDPCP/ITGA9/PHLDB2/MUC4/PIK3R1/NOTCH1/RSU1/HSD17B12/ITGB1/DOCK1/FER/CCL28/UTRN/DAB2/MERTK/ABI3BP/ANGPT1/EPHB1/FZD7/WHAMM/BRAF/RADIL/EDA/DMTN/ZYX/PDPN/SNED1/DISC1/FBLN2/CLASP2/ADAMTS9/ITGA2/EGFLAM/DLC1/FREM1/SVEP1/TSC1/HACD1/JAM3/ILK/SMAD3/CRK/AXL/CTNNB1/FAM107A/TNXB/PLEKHA2/LIMS1/SEMA3E/PKHD1/HAS2/PRKCE/PTEN/EFEMP2/WASHC2C/NDNF/PEAK1/CD34/FZD4/ACER2/MYADM/ANXA2/GAS6/EFNA5/CSF1/SPRY4/PARVB/VWC2/APOD/AJAP1/FLNA/PARVA/S100A10/EGFL6/VIT/ARL2/ITGA1/STON1/ACTN3/ITGB3",170,170,361
"GO:0003012","GO:0003012","muscle system process","203/5064","465/18986",0.436559139784946,1.6367519407498,8.38428190966507,1.01387079204048e-15,3.21295653997629e-12,2.37619296681909e-12,"CFLAR/CACNA1G/SCN4A/PIK3C2A/EHD3/IGF1/ATP1A2/TNFRSF1B/MAP2K3/MYOC/MYOM2/DSG2/NEDD4L/PTGER3/PKP2/ATP2B4/MYLK/TNFRSF1A/ROCK1/HDAC4/MEF2A/ABCC9/ATP2B1/LMCD1/NFATC3/PTGS2/DLG1/ACACB/PPP1R12B/EDN1/REM1/NOS1/P2RX6/ASB2/SLC8A3/MYL9/SNTA1/OXT/TNNC2/HTR2A/CAV1/ACTA2/CAMTA2/SGCA/MAP2K6/MYH1/MYH3/CRYAB/MYL2/KCNA1/SRF/CERT1/SMAD5/TACR1/RGS2/FOXO3/CASQ2/NR4A3/FKBP1B/KCNIP2/KCNJ5/ADRA1A/KCNJ8/PIK3CA/CALD1/SSPN/NR4A1/KCNJ2/EDN3/BBS2/MYH2/IL1B/DOCK4/TMOD2/FGF13/KCNA5/CNN1/ACE2/HRC/TNNT3/NFATC1/CKMT2/PPARG/MYH11/ROCK2/SPX/DTNA/HEY2/EDNRB/SCN2A/SCN7A/BIN1/TMOD1/MYOF/MSTN/PDE5A/PPP3CA/TPM1/MYOCD/GATA6/SMAD4/STAC2/MEIS1/GRIP2/STAC/CAMK2D/ANK2/MLIP/GSN/NOTCH1/CAMK2G/DRD2/SCN2B/ADRA2A/FOXO1/CACNA1C/AKAP6/GPD1L/UTRN/SCN3A/CACNA2D1/PRKCA/SORBS2/TTN/CLIC2/KCNMA1/FBXO32/KIT/TRIM63/PDE9A/MYL3/PROK2/LMOD1/SLMAP/KLF15/HAND2/GUCY1A1/ITGA2/PI16/GPER1/NOS3/ARHGAP42/SCN3B/APBB1/SMAD3/SCN11A/BDKRB2/ADRB2/SCN9A/P2RY1/ADRA1B/ADORA2B/SGCD/LMOD2/NMUR1/SNTB1/MYOZ2/VEGFB/LEP/DES/NPPA/KCNE3/KCNE5/SCN4B/KCNE1/OXTR/CHRM2/KCNIP1/SYNM/CAV3/KCNB2/SLC8A1/CTNNA3/SETD3/SCN5A/SMTN/KCNJ12/PRKD1/PDE4B/DRD1/PRKG1/TRDN/PPARA/COL14A1/CLCN1/RYR1/FLNA/ANXA6/ASPH/TPM2/PLN/CALM1/RCSD1/RYR3/DMD/GSTM2/MIR17HG/KBTBD13/ACTN3/GJA5/FXYD1/ADRA2B/MIR145",203,203,465
"GO:0042692","GO:0042692","muscle cell differentiation","189/5064","432/18986",0.4375,1.64027942338073,8.11883989196067,7.76295034969833e-15,1.6400526438796e-11,1.21292694411251e-11,"CYP26B1/CFLAR/IFRD1/SPAG9/IGF1/EHD2/PIAS1/MYOM2/BARX2/PTCD2/CDON/NEO1/HDAC4/MEF2A/ATP11A/RORA/ACTN1/SPEG/NFATC3/RARB/IL4R/ITGA8/EDN1/MEF2C/SMARCD3/CCNT2/TBX5/NOS1/LAMB1/CAPN3/SIRT1/ASB2/NFATC2/MYL9/MYOM1/LAMA1/KLF5/FGF9/OLFM2/CAV2/ENG/PPP3CB/BMPR1A/CNTNAP1/HDAC5/PRKAR1A/MYH3/CD81/SOX6/WNT5B/MYL2/RIPOR2/MAPK14/POPDC1/QKI/SRF/TBX18/PDGFRB/ACVR1/TANC1/SMYD1/RGS2/CTH/NID1/ACADM/PROX1/MED28/ADRA1A/KCNJ8/POPDC2/LDB3/BHLHE41/WNT1/EFNB2/BMP2/FLNC/TMOD2/TNNT3/SYNE1/NFATC1/RAMP2/TMEM204/KDM6B/MYH11/CAMK1/SORT1/NOTCH2/FHOD3/APLNR/PDGFRA/ADGRB3/AKIRIN2/HEY2/LAMC1/EDNRB/ALPK3/BIN1/TMOD1/CCN3/PPP3CA/RB1/TPM1/MYOCD/GATA6/SMAD4/SIK1/MYOM3/SYPL2/MEIS1/ANK2/BIN3/NOTCH1/ZEB1/ADM/ITGB1/DOCK1/AKAP6/PGM5/OBSCN/SORBS2/JAM2/ADAMTS5/TTN/FZD7/KLHL40/NRG1/KIT/SKI/CSRP1/RCAN1/ACTC1/PLPP7/SCGB3A1/SGCB/MSX1/LMOD1/TCF23/FBXO40/PI16/HEY1/GPER1/CFL2/TSC1/AVPR1A/RBPMS2/IGF2/CTNNB1/SHOX2/MECP2/WNT10B/TMEM182/SGCD/AKAP13/LMOD2/LAMB2/MYOZ2/EFEMP2/WFIKKN2/CSRP2/CACNB4/CAV3/SLC8A1/SETD3/PRKD1/FOXO4/SGCZ/MAPK11/PRKG1/MRTFB/PPARA/COL14A1/MYBPC1/RYR1/NACA/LAMA2/MRTFA/DLL1/DMD/MIR26A1/BMPR2/NOTCH4/MIR222/MIR590/MIR221/MIR125B1/ERVFRD-1/ACTN3/MYMX/MIR145",189,189,432
"GO:0060537","GO:0060537","muscle tissue development","192/5064","447/18986",0.429530201342282,1.61039897367389,7.87636327613188,4.1324303418278e-14,6.54783587662616e-11,4.84255587162084e-11,"CYP26B1/CFLAR/CACNA1G/IFRD1/IGF1/MYOM2/BARX2/DSG2/PTCD2/PKP2/YBX3/CDON/EYA2/MYLK/MEF2A/SIRT2/ABCC9/TGFBR3/SEMA3C/FOSL2/DLG1/RARB/FGFR1/ITGA8/EDN1/FGF20/MEF2C/CCNT2/TBX5/ABL1/DDX17/EP300/ASB2/MYOM1/KLF5/FGF9/SGCG/CAV2/CAV1/MEOX2/MYL7/ENG/ZFAND5/PPP3CB/BMPR1A/FGF8/DDX5/CNTNAP1/HLF/PRKAR1A/SOX6/GLI1/MYL2/MAPK14/BMP5/POPDC1/SRF/TBX18/SMAD5/PDGFRB/ACVR1/SMYD1/RGS2/ACADM/PROX1/CREB1/TCF21/PKD2/TNN/EGR1/ADRA1A/KCNJ8/POPDC2/TWIST1/EGR2/NR4A1/EFNB2/GPCPD1/BMP2/HOXD9/HOXD10/DLL4/ALDH1A2/SYNE1/PRKAA1/KDM6B/MYH11/BMAL1/MBD2/NOTCH2/FHOD3/PDGFRA/HEY2/ALPK3/HLX/PIM1/YAP1/RBP4/MSTN/ASNSD1/FGF2/PPP3CA/RB1/METTL21C/TPM1/MYOCD/GATA6/MBD1/SMAD4/SIK1/OSR1/MEIS1/BIN3/NOTCH1/JPH2/ITGB1/AKAP6/SAV1/PGM5/SORBS2/EPHB1/TTN/FZD7/KLHL40/NRG1/SKI/CSRP1/RCAN1/ACTC1/BTG2/NPR2/MYL3/ATF3/SGCB/MSX1/ADAMTS9/TIPARP/CITED2/PI16/HEY1/CFL2/TSC1/COPS2/SMAD3/IGF2/ANKRD33/CTNNB1/RBPJ/SHOX2/VAMP5/MECP2/WNT10B/ZFPM2/VGLL2/FOS/SGCD/AKAP13/FOXN2/S1PR1/MTM1/USP19/MYOZ2/EFEMP2/HEG1/NR1D2/CSRP2/NPPA/DIPK2A/FES/CAV3/SLC8A1/SCN5A/MAFF/SGCZ/MAPK11/PRKG1/PTCH1/MRTFB/PPARA/COL14A1/RYR1/NACA/SVIL/PLN/DLL1/DMD/MIR222/MIR590/MIR17HG/ACTN3/GJA5/MIR145",192,192,447
"GO:0006936","GO:0006936","muscle contraction","160/5064","358/18986",0.446927374301676,1.67562463042883,7.78332574838458,1.039268855367e-13,1.31737720106321e-10,9.74287202726161e-11,"CACNA1G/SCN4A/PIK3C2A/EHD3/ATP1A2/MAP2K3/MYOM2/DSG2/NEDD4L/PTGER3/PKP2/ATP2B4/MYLK/ROCK1/ABCC9/ATP2B1/PTGS2/DLG1/PPP1R12B/EDN1/REM1/NOS1/P2RX6/SLC8A3/MYL9/SNTA1/OXT/TNNC2/HTR2A/CAV1/ACTA2/SGCA/MAP2K6/MYH1/MYH3/CRYAB/MYL2/KCNA1/SRF/CERT1/SMAD5/TACR1/RGS2/CASQ2/FKBP1B/KCNIP2/KCNJ5/ADRA1A/KCNJ8/PIK3CA/CALD1/SSPN/NR4A1/KCNJ2/EDN3/BBS2/MYH2/DOCK4/TMOD2/FGF13/KCNA5/CNN1/ACE2/HRC/TNNT3/CKMT2/MYH11/ROCK2/SPX/DTNA/EDNRB/SCN2A/SCN7A/BIN1/TMOD1/MYOF/PDE5A/TPM1/MYOCD/STAC2/GRIP2/STAC/CAMK2D/ANK2/GSN/DRD2/SCN2B/ADRA2A/CACNA1C/GPD1L/UTRN/SCN3A/CACNA2D1/TTN/CLIC2/KCNMA1/KIT/TRIM63/MYL3/PROK2/LMOD1/SLMAP/GUCY1A1/ITGA2/GPER1/ARHGAP42/SCN3B/APBB1/SCN11A/BDKRB2/ADRB2/SCN9A/ADRA1B/ADORA2B/SGCD/LMOD2/NMUR1/SNTB1/VEGFB/DES/NPPA/KCNE3/KCNE5/SCN4B/KCNE1/OXTR/CHRM2/KCNIP1/SYNM/CAV3/KCNB2/SLC8A1/CTNNA3/SETD3/SCN5A/SMTN/KCNJ12/PRKD1/PDE4B/DRD1/PRKG1/TRDN/CLCN1/RYR1/FLNA/ANXA6/ASPH/TPM2/PLN/CALM1/RCSD1/RYR3/DMD/GSTM2/KBTBD13/ACTN3/GJA5/FXYD1/ADRA2B/MIR145",160,160,358
"GO:0045444","GO:0045444","fat cell differentiation","121/5064","251/18986",0.48207171314741,1.80738814095907,7.76593431090105,1.84401360635582e-13,1.94789303951386e-10,1.44059519107061e-10,"WWTR1/SNAI2/PIAS1/TRIO/ADRB1/LMO3/TFE3/SIRT2/ADGRF5/RORA/FERMT2/PTGS2/FOSL2/RUNX1T1/OSBPL8/SIRT1/EP300/JAG1/HTR2A/KLF5/MEDAG/SFRP1/CLIP3/RARRES2/PPARGC1A/ZBTB16/WNT5B/CREBL2/MAPK14/FBXO9/FAM120B/ATF2/RGS2/CREB1/NR4A3/ALDH6A1/KCNJ8/BBS9/ARL4A/EGR2/NR4A1/WNT1/BBS2/BMP2/NR1D1/STEAP4/ZFP36/ANGPTL8/SLC7A10/PPARG/PER2/GPS2/BMAL1/SORT1/PDGFRA/IL6/KLF4/PIM1/TAF8/YAP1/SMAD6/BBS7/PTPRQ/WDFY2/JDP2/TGFB1I1/FTO/NUDT7/PRDM16/ASXL2/OSBPL11/TCF7L2/ARID5B/FOXO1/CCDC3/SAV1/ZFP36L2/NR4A2/FLCN/WIF1/NPR2/FNDC5/LRP5/INHBB/NIPBL/ERAP1/GPER1/PEX11A/SMAD3/AXIN2/ADRB2/WNT10B/ZFPM2/FABP4/ASXL1/DLK2/LRRC8C/ID4/NEGR1/CMKLR1/LEP/LPL/MEX3C/PTGR3/BBS12/ADIPOQ/SLC2A4/ADIG/PLCB1/ZFP36L1/FFAR4/TMEM120B/ADRB3/TMEM120A/LAMB3/GRK5/MIR27B/EBF2/CEBPD/CEBPA/GDF10",121,121,251
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","204/5064","491/18986",0.415478615071283,1.55771662435691,7.55141786179963,3.4527590484467e-13,3.12622669272217e-10,2.31205053274183e-10,"ALS2/ITGA3/CYTH3/PLEKHG6/NISCH/IGF1/FAM13B/ARHGAP31/MYOC/TRIO/RIPOR1/PREX2/ARHGAP6/ARHGEF5/NGFR/CDON/MYO9A/ROCK1/RASGRP2/ARHGAP10/PICALM/PLD1/ADCYAP1R1/RAPGEF3/OPHN1/RAB21/HACE1/DOCK9/ARHGAP28/RAPGEF4/SH2D3C/ABL1/NRP1/RASL10A/SOS2/ARHGAP5/DOK5/ARHGEF7/PPP2CB/ARHGEF10/SYDE1/DENND3/RASIP1/RASA4/MET/DOCK8/KANK1/RAPGEF1/DNMBP/LIPA/ARHGAP21/RAPGEF2/ARHGEF17/CBL/KCTD10/RIPOR2/RASGRF2/BCL6/RTN4/CCDC88A/SOS1/RND3/RAP1A/RHOU/DOCK7/MFN2/RRAGC/CTNNAL1/RHOQ/TEK/PLEKHG1/IQSEC3/RAB9B/RAB9A/ARHGAP40/CDKN1A/AMOT/RRAS/RHOJ/RHOT1/RAP1B/DOCK4/CGNL1/PLD2/STARD8/DOCK6/ARHGEF9/RAF1/STARD13/SWAP70/RRAS2/NOTCH2/NGF/ROCK2/LRP4/ARHGEF4/SPRY2/TNS3/RAPGEF5/DAB2IP/GARNL3/DENND4C/ARRB1/SDCBP/RDX/ARHGAP20/ARHGAP29/PLCE1/ABI2/USP8/ARHGAP24/FAM13A/RASGEF1B/FGF2/FGD4/GIT2/RB1/ARHGAP17/CDH13/KSR1/RGL1/ITPKB/IQSEC1/RABL3/SLIT2/ARHGAP26/PSD2/RASGEF1C/GNA12/OGT/DOCK11/DOK2/NOTCH1/ITGB1/ADRA2A/DOCK1/EPS8/RASGRP3/GRAP/OBSCN/FGD5/FLCN/ELMO1/RASA2/MRAS/WASF2/CDC42SE2/ABR/KALRN/RALGDS/PDPN/DIRAS3/CDC42EP3/ARHGAP25/SPRY1/FBXO8/DLC1/ABCA1/ARHGAP12/KBTBD6/ARHGEF40/ARHGAP42/GARRE1/RRAD/MAPRE2/CRK/CDC42EP5/SPRY3/ROBO1/USP50/RASA4B/AKAP13/PLEKHG5/RASGRP4/RAB33B/SCAI/HEG1/ABRA/DENND4A/GPR4/CDC42EP4/CSF1/RASA3/CHP1/SPRY4/CHM/RALGAPA2/LRRK2/RELN/PLEKHG4/ARHGEF12/KANK2/NKIRAS1/LPAR1/ARHGEF15/ITSN1/RAB12/ARHGAP19/SYNJ2BP/ARHGEF28/ARHGEF25/ARHGDIG/CYFIP1/ARHGAP23",204,204,491
"GO:0043434","GO:0043434","response to peptide hormone","188/5064","446/18986",0.42152466367713,1.58038453091903,7.48048450328562,6.19418493928786e-13,4.90734301815081e-10,3.62930335982221e-10,"GCLC/CFLAR/PDK4/PDK2/PIK3C2A/CPS1/INSRR/OTC/ARID1B/GLP2R/ROCK1/TGFBR3/LRP6/EIF2B3/ATP2B1/PTGS2/EDN1/FAT1/NCOA1/HADHA/SNX5/PXN/OSBPL8/SORBS1/SIRT1/JAK2/MAPK1/SOS2/OXT/EEF2K/ZNF106/SLC39A14/CAV2/CAV1/GRB10/CRHR2/RARRES2/GCK/KANK1/CXCL12/HDAC5/PRKAR1A/GAB1/TNS2/LTA4H/MAPK14/GLP1R/GPLD1/GHR/KAT2B/GNAI2/SOS1/NFE2L2/ERRFI1/CREB1/NR4A3/RHOQ/TEK/EGR1/SOCS2/KCNJ8/CRY2/CAT/PIK3CA/EGR2/NR4A1/ACVR1C/PCK1/WNT1/IL1B/CITED1/STAT5A/GNAI1/VPS13C/CDO1/SLC27A1/MAS1/ASS1/MAP1B/RAF1/PPARG/PTPRE/PRKAA1/INPP5K/LPIN3/ZBED3/KL/HMGCS2/SORT1/ROCK2/LPIN1/ECHDC3/APC/APPL2/TBC1D4/EDNRB/IL10/DENND4C/MGARP/LHCGR/STAT4/MSTN/HADH/PPP3CA/RB1/SLC24A4/TCF12/CYP11A1/TNFRSF11A/WDTC1/PIK3R1/CRHBP/PHIP/IGFBP1/OGT/EIF4EBP2/ADM/SESN3/FOXO1/FER/PDE3B/NR4A2/ZDHHC7/PID1/PRKCA/BRAF/NCK1/PFKFB1/BTG2/ACE/NPR2/LRP5/JAK1/ALPL/DDR2/SGCB/INHBB/KLF15/GPER1/GKAP1/TSHR/TSC1/FBN1/NDEL1/ZNF592/STAT6/SMAD3/CRK/IGF2/GPT/IRS1/YWHAG/SIK2/FOS/KBTBD2/SLC25A33/STAT5B/ADCY6/LEP/EPM2AIP1/PTPN11/OXTR/ADIPOQ/SLC2A4/PLCB1/PRKD1/FOXO4/SOCS3/TRARG1/SP1/ZFP36L1/FFAR3/IRS2/PPARA/MYO5A/MYO1C/SLC22A12/CYTB/MBD5/MAS1L/MIR27B/LEPROT/CPEB1/VAMP2/TWIST2/ITGB3/CYFIP1/MIR145",188,188,446
"GO:0001659","GO:0001659","temperature homeostasis","94/5064","185/18986",0.508108108108108,1.90500405618889,7.46014467275141,2.00911133791154e-12,1.41486085107593e-09,1.04638278218948e-09,"NR1H3/ADRB1/LETMD1/PTGER3/TFE3/ACADVL/PTGS2/IL4R/JAK2/SCD/OXT/HTR2A/ZNF423/DECR1/NOVA2/CAV1/GRB10/MAP2K6/PPARGC1A/QKI/LAMA4/ARRDC3/NPR3/LNPEP/IL4/ACADL/IL18R1/EPAS1/DOCK7/LEPR/MFN2/CNR1/ELOVL3/TNFSF11/EGR1/G0S2/IL1B/ID1/THRA/NR1D1/SLC27A1/PRKAB2/PER2/KDM6B/PEMT/BMAL1/LPIN1/APC/CD36/APPL2/EDNRB/TLR4/HADH/RB1/NOVA1/FTO/TNFRSF11A/PRDM16/PTH2R/PDGFC/OGT/NOTCH1/DRD2/FOXO1/ACSL1/ADAMTS5/FLCN/PLCL2/PPARGC1B/ALPL/ABHD6/IL15/FABP5/ALDH1A1/TSHR/STAT6/RBPJ/IL13/ADRB2/WNT10B/FABP4/CMKLR1/LEP/IP6K1/CIDEA/OXTR/ADIPOQ/DRD1/FFAR4/ADRB3/DYNC1H1/LGR4/EBF2/ACTN3",94,94,185
"GO:0031032","GO:0031032","actomyosin structure organization","105/5064","216/18986",0.486111111111111,1.82253269264525,7.33245223131886,3.75371925615426e-12,2.37910726455057e-09,1.75950651027946e-09,"CFLAR/MYOC/MYOM2/ARHGAP6/ARHGEF5/LIMCH1/ROCK1/MEF2A/FERMT2/CLASP1/EDN1/RAPGEF3/EPB41L2/EPB41L3/EPB41L1/ARHGAP28/PXN/TRPM7/CAPN3/EPB41L4B/SORBS1/ABL1/NRP1/PPM1F/MYL9/MYOM1/RGCC/CORO2B/TJP1/SFRP1/ARHGEF10/MET/TESK1/PDLIM1/PRKAR1A/MYH3/MYL2/SRF/PDGFRB/TACR1/CCDC88A/CNN3/PROX1/CCN2/ITGB1BP1/SORBS3/LDB3/AMOT/FLNC/CGNL1/TMOD2/CNN1/TNNT3/INPP5K/VPS4A/MYH10/MYH11/ROCK2/FHOD3/PDGFRA/TMOD1/ARRB1/TPM1/SMAD4/MYOM3/CDC42BPA/TMEFF2/PHLDB2/PIK3R1/IQGAP2/FAM171A1/ITGB1/PGM5/OBSCN/TTN/BRAF/WASF2/CSRP1/ACTC1/ZYX/LMOD1/CLASP2/DLC1/CFL2/TSC1/SMAD3/SERPINF2/ZEB2/AKAP13/LMOD2/S1PR1/PTGER4/SYNPO/FRMD3/MYOZ2/CSRP2/CAV3/PRKD1/MYBPC1/MYO18A/CD47/S100A10/LPAR1/CDC42BPB/ARHGEF15",105,105,216
