NewsID	Content
83682	"I need triangulized data of some nice looking model with some
texture mapping. It would be better if the parametric values
of each vertex( for the surface before triangulized ) are
avaliable along with the Euclidean points so that we
could use them for texture mapping."
69726	"We`ve had the the Great Western, the [ dunno ] and the Great Northern
postulated as Brunel`s masterpiece. Keep boxing the compass chaps, you`ll
get round to it eventually.

The Great Western was a highly successful transatlantic mail ship,
with hybrid sail and steam propulsion. The Great Eastern, which broke
the 'Little Giant' financially and otherwise, was a revolutionary leap
forward in ship design. A thirty thousand ton all steel vessel, with
primary steam propulsion, it was at the time easily the biggest ocean
going vessel ever built. Brunel took advantage of the fact that cargo
and / or fuel capacity rose with the cube of scale, while drag rose
with the square, so a really big ship could steam thousands of miles
without coaling.

Unfortunately, there was no real market for such a beast at the time,
and it was eventually sold off at scrap values. As another poster
said, it then went on to a successful career as a telegraph cable
laying ship. It was in fact the only ship of its day capable of laying
a transatlantic cable in one go, with the endurance and capacity to
carry the huge reel all the way, and the manoeuverabilty to dredge for
defective sections. See Arthur C Clarke`s book ""How the World was One""
[ I think that`s right ]

If that`s how the Shuttle goes down in history, as a technical triumph
and a financial disaster for the builder, it would not be entirely
ignoble, but I doubt if history will be so charitable.  Its true the
Shuttle can do things no other launch system can do, but are they
worth doing? With low cost access to space, you could have an
affordable space station for doing shuttle-like extended manned
missions. As it is, the shuttle is not so much a space-truck as a
space-RV, ( only not so cheap to run :-( )"
70195	"Does anybody out there have or know how to calculate the RGB values 
required to set the 256 color VGA palette so that the colors from 
0..255 will give 256 colors  of the rainbow ie red, orange, 
yellow, etc.

Any help would be appreciated. Please email to eeerik@cc.newcastle.edu.au"
76948	"This is a RFD on a proposal for a newsgroup which would promote a 
sharing on the ""Johannine hours"" as proposed each month by the monks of 
the ecumenical community of Taize (pronounced te-zay) in France.

NAME OF PROPOSED NEWSGROUP: 
==========================

soc.religion.taize (Unmoderated)


PURPOSE OF THE GROUP: 
====================

The Taize Community is an international ecumenical community of monks 
based in France. Many young adults come there to search for meaning in 
their life and to deepen their understanding of their faith through a 
sharing with others. This newsgroup will allow such a sharing through a 
monthly ""Johannine Hour"" which will be posted at the beginning of each 
month. A ""Johannine hour"" involves a short commentary on a given Bible 
passage, followed by some questions for reflection.  Any thoughts that 
may arise in consequence and that you wish to share with others can be 
posted here. We are not interested in theological debate, and even less 
in polemics. No expertise is required! The idea is to help one another 
to deepen our understanding of Scripture as it is related to our own 
life-journey.

The idea of ""Johannine hours"" was born in Taize as a simple response
to all those who were trying to assimilate the Bible's message in the
midst of their daily life. Because of work or studies, it is often
impossible to spend long hours in silence and reflection, but
everyone can take an hour from time to time to enter a church, sit
quietly at home or go out for a walk in the woods. There, in silence,
we can meditate on a passage of Scripture to listen to the voice of
Christ.

During the time of silence, it is important to concentrate on what we 
understand and not waste time worrying if, in some Biblical expressions, 
we find it difficult to hear the voice of Christ. The idea is to 
communicate to others what we have understood of Christ, not burdening 
them with our own hesitations but rather telling them what has brought 
us joy, what has led us to run the risk of trusting more deeply.

Perhaps those who read and think about the ""Johannine Hours"" in this
newsgroup could share their reflections and discoveries with others.

The important thing is the complementarity between two aspects, the
personal aspect of silent, personal reflection and the communal aspect
of sharing, which through Usenet makes us a part of a worldwide network.

BACKGROUND OF THE TAIZE COMMUNITY:
=================================

The following provides some background information on the life and
vocation of the Taize (pronounced te-zay) community.

""A PARABLE OF COMMUNION"": August 1940, with Europe in the grip of
World War II, Brother Roger, aged 25, set up home in the almost
abandoned village of Taize, in Eastern France. His dream: to bring
together a monastic community which would live out ""a parable of
community"", a sign of reconciliation in the midst of the distress of
the time. Centering his life on prayer, he used his house to conceal
refugees, especially Jews fleeing from the Nazi occupation.

AN INTERNATIONAL AND ECUMENICAL COMMUNITY: Taize's founder spent the
first two years alone. Others joined him later and at Easter 1949,
seven brothers committed themselves together to common life and
celibacy. Year by year, still others have entered the community, each
one making a lifelong commitment after several years of preparation.
Today, there are 90 brothers, Catholics and from various Protestant
backgrounds, from over twenty different countries. Some of them are
living in small groups in poor neighbourhoods in Asia, Africa, North
and South America. The brothers accept no donations or gifts for
themselves, not even family inheritances, and the community holds no
capital. The brothers earn their living and share with others
entirely through their own work. In 1966, Sisters of Saint Andrew, an
international Catholic community founded 750 years ago, came to live
in the neighbouring village, to share the responsibility of welcoming
people in Taize.

TAIZE AND THE YOUNG; THE INTERCONTINENTAL MEETINGS: Young adults, and
less young, have been coming to Taize in ever greater numbers since
1957. Hundreds of thousands of people from Europe and far beyond have
thus been brought together in a common search. Intercontinental
meetings take place each week, Sunday to Sunday, throughout the year
and they include youth from between 35 and 60 countries during any
one week. The meetings give each person the opportunity to explore
the roots of their faith and to reflect on how to unite the inner
life and human solidarity. The meetings in summer can have up to
6,000 participants a week. Three times every day, the brothers and
everybody on the hill come together for common prayer in the Church
of Reconciliation, built in 1962 when the village church became too
small.

""A PILGRIMAGE OF TRUST ON EARTH"" The community has never wanted to
create a ""movement"" around itself. Instead, people are called to
commit themselves in their church at home, in their neighbourhood,
their city or village. To support them in this, Taize has created
what it calls ""a pilgrimage of trust on earth"". At the end of each
year, the pilgrimage has a ""European meeting"" which brings together
tens of thousands of young adults from every part of Europe for
several days in a major city. There have also been meetings in Asia
and in the United States. Every year, Brother Roger writes an open
letter to the young. Usually completed during a stay in one of the
poor regions of the world, these are translated into thirty languages
and provide themes for reflexion for the following year.

NOTE:  Discussion on the creation of this newsgroup will take place in 
       news.groups.

For any further information contact: Brother.Roy@almac.co.uk

               brother.roy@almac.co.uk"
72758	"There was a recent discussion of Dungeons and Dragons and other role
playing games.  Since there is a lot of crossover between gamers and
science fiction and fantasy fans, I will mention that I am the editor
and publisher of RADIO FREE THULCANRA, a Christian-oriented science
fiction fanzine.  It is not a Christian magazine with a special
interest in science fiction.  It is a science fiction fanzine with a
special interest in Christianity.  Gaming is not a major topic of
discussion but it has come up in some letters.  (No, there are no
arguments about whether D&D is satanic.  People who think it is are
not likely to be reading RFT.)  Anyway, I am now working on the April
issue.  I will send a sample copy to any reader of
soc.religion.christian who requests it.  It is printed on paper, so
requests should include a snail-mail address.
-------
Marty Helgesen
Bitnet: mnhcc@cunyvm   Internet: mnhcc@cunyvm.cuny.edu"
96989	"
You could, but it would be considerably cheaper to spend $8 or so on
a trickle charger from K-Mart, Venture, or Target, then it would be
to replace the halogen lamp power supply after you fuse it trying to
pump current into the battery...

While charging, the charger should be putting out around 14 or 15 volts
as well..."
37665	"i have a question for you all related to this.  jesus condemns divorce
several times in the new testament, and i have a hard time with this.
the catholic church (as far as i can tell) does grant annulments with
the statement that the marriage never really existed in God's eyes.
(please, if i am mistinterpreting, correct me.)  however, i have
witnessed marriages where two people were very much in love but
recognized that they were destroying themselves and each other by
staying in a marriage, and that the problems were due to personal
childhood issues that had never been resolved.  i ask you, is divorce
justified in such a case?  they knew who they were, what they were
doing, they were deeply in love, but in the end, it did not work out.
i must admit that i don't see jesus forcing them to live together, or
even condemning that they go and seek happiness with someone else
later on.  opinions?

vera
*******************************************************************************
I am your CLOCK!     |  I bind unto myself today    | Vera Noyes
I am your religion!  |  the strong name of the	    | noye@midway.uchicago.edu
I own you!	     |  Trinity....		    | no disclaimer -- what
	- Lard	     |	- St. Patrick's Breastplate | is there to disclaim?
*******************************************************************************"
28813	"

So, you'd sell your bike, and let her
ride around while you have to stay home with
the kids?

Geez, that's a tough choice.
"
20712	
49286	"I read somewhere that Kurt Goedel argued that the ontological argument
for God's existence was logically reasonable (or something to that
effect).

Does anyone know if this is true, and have a citation?

Thanks."
65396	": Concerning the proposed newsgroup split, I personally am not in favor of
: doing this.  I learn an awful lot about all aspects of graphics by reading
: this group, from code to hardware to algorithms.  I just think making 5
: different groups out of this is a wate, and will only result in a few posts
: a week per group.  I kind of like the convenience of having one big forum
: for discussing all aspects of graphics.  Anyone else feel this way?
: Just curious.


: Daemon

What he said...

-- "
78991	"[Space ad proposed]

This is undoubtedly the sickest thing to come down the marketing pipe
in years, and the best reason for resurrecting the ""Star Wars"" killer
satellite system."
16417	"Hi, I'm just getting into PoVRay and I was wondering if there is a graphic
package that outputs .POV files.  Any help would be appreciated.
Thanks.

Later'ish
Craig
"
19117	
