"Cluster","MaxCorrelation","MaxDC"
"0",0.445425322194779,"DC1"
"1",0.514228328304402,"DC1"
"2",0.370394221694343,"DC1"
"3",0.32296907226698,"DC1"
"4",0.515515738003279,"DC5"
"5",0.254297084199093,"DC1"
"6",0.282830461559082,"DC4"
"7",0.387364412764943,"DC4"
"8",0.47255982735642,"DC1"
"9",0.296736050950164,"DC1"
"10",0.160079430592872,"DC9"
"11",0.524092498885555,"DC2"
"12",0.420877102522477,"DC2"
"13",0.304376703513117,"DC8"
"14",0.533424617768567,"DC4"
"15",0.288158834855846,"DC4"
"16",0.413696066588173,"DC1"
"17",0.26336264108262,"DC3"
"18",0.370715750925573,"DC1"
"19",0.441407545229302,"DC3"
"20",0.461638955247991,"DC1"
"21",0.155517629902505,"DC3"
"22",0.359050898723539,"DC2"
"23",0.165551025740533,"DC1"
"24",0.323640229336907,"DC1"
"25",0.309794932998483,"DC1"
"26",0.354452189387251,"DC4"
"27",0.661702608079749,"DC7"
"28",0.279536790922054,"DC2"
"29",0.102725192860931,"DC6"
"30",0.240205084458694,"DC6"
"31",0.41981487671697,"DC1"
"32",0.7846207147712,"DC1"
"33",0.363727931294212,"DC1"
"34",0.20149879695956,"DC5"
"35",0.415980584926735,"DC2"
"36",0.361712108613024,"DC2"
"37",0.207991443419333,"DC1"
"38",0.241018695205283,"DC1"
"39",0.682496496759248,"DC3"
"40",0.44998575279663,"DC3"
"41",0.497902264128123,"DC3"
"42",0.388934961978964,"DC3"
"43",0.395261224812435,"DC6"
"44",0.0518942136928094,"DC7"
"45",0.515855180947269,"DC1"
"46",0.330085511919291,"DC4"
"47",0.414771912473327,"DC4"
"48",0.44116906446845,"DC1"
"49",0.338607275787711,"DC1"
"50",0.46209324594939,"DC1"
"51",0.536576744201555,"DC1"
"52",0.453041300103543,"DC2"
"53",0.44334657802351,"DC5"
"54",0.258186733710094,"DC2"
"55",0.127207816634904,"DC3"
"56",0.53082985024932,"DC1"
"57",0.178240280749642,"DC16"
"58",0.0531378612568033,"DC2"
"59",0.407484061440182,"DC1"
"60",0.208890252656523,"DC1"
"61",0.328064842008217,"DC2"
"62",0.426687356820274,"DC1"
"63",0.548951139186843,"DC2"
"64",0.125937348585102,"DC4"
"65",0.635784965644507,"DC1"
"66",0.24405325659126,"DC2"
"67",0.610342716848101,"DC1"
"68",0.375744690025769,"DC3"
"69",0.463654375335917,"DC1"
"70",0.461803971632769,"DC4"
"71",0.420696350013758,"DC1"
"72",0.368202702136472,"DC1"
"73",0.43785219676724,"DC1"
"74",0.490311602591188,"DC1"
"75",0.13646789131022,"DC16"
"76",0.321552012084866,"DC2"
"77",0.583945101037476,"DC1"
"78",0.0814164597139859,"DC8"
"79",0.115135939026409,"DC12"
"80",0.463324396159037,"DC1"
"81",0.187430031086702,"DC1"
"82",0.192220985412223,"DC1"
"83",0.372244194116055,"DC1"
"84",0.453312840591872,"DC1"
"85",0.13592883119197,"DC6"
"86",0.333967075109364,"DC4"
