	DGRP-551_1d_WholeBrain_Unstranded_RNA-seq	DGRP-551_1d_WholeBrain_Stranded_RNA-seq	w1118_1d_WholeBrain_Unstranded_RNA-seq	w1118_1d_WholeBrain_Stranded_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep1_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep2_RNA-seq
Nep3	1645.345595782175	1742.5684675211296	1758.302055351448	1759.6762119674347	1499.8425600834498	533.2980069309363
tRNA:Pro-CGG-1-1	0.368168627384689	0.0	0.0	0.0	0.0	0.0
CG9570	0.736337254769378	0.0	1.8825503804619357	0.0	1.0599594064193991	2.6883327381521673
Or19b	0.0	0.0	0.0	0.0	0.0	0.0
CG15322	6.627035292924401	7.631686719070641	5.647651141385807	1.5143513011767942	10.599594064193992	22.514786682024404
Or19a	0.0	0.0	0.0	0.0	0.0	0.0
karr	0.0	0.0	0.0	0.0	0.0	1.0081247768070627
fd19B	0.0	0.0	0.0	1.5143513011767942	0.0	2.0162495536141254
CG17003	0.368168627384689	0.0	0.0	0.0	0.0	2.3522911458831466
CG12655	3.68168627384689	2.543895573023547	1.8825503804619357	1.5143513011767942	4.2398376256775965	8.064998214456502
CR32821	0.0	0.0	0.0	0.0	0.0	0.0
CG33217	38.657705875392345	53.42180703349448	24.473154946005163	51.487944240011	148.39431689871589	38.98082470320643
Vps11	115.97311762617703	213.68722813397792	37.65100760923872	112.06199628708276	499.240880423537	202.6330801382196
RpL10	1450.9525605230592	2836.4435639212547	1361.0839250739796	2615.2846971323233	1381.1271065644771	1523.94862094001
G9a	921.1579057164919	890.3634505582413	751.1376018043123	881.3524572848942	828.8882558199701	650.5765226328245
cin	272.07661563728516	267.1090351674724	246.61409984051357	261.98277510358537	360.38619818259576	151.89079970559746
CG3777	18.776599996619137	33.070642449306106	20.708054185081295	21.200918216475117	10.599594064193992	17.81020439025811
CG12470	13.254070585848803	5.087791146047094	0.0	1.5143513011767942	9.539634657774593	15.121871652105941
Or1a	7.731541175078469	17.807269011164827	1.8825503804619357	3.0287026023535883	23.31910694122678	30.915826488749925
y	0.368168627384689	0.0	16.942953424157423	15.143513011767942	5.299797032096996	1.0081247768070627
ac	0.0	0.0	0.0	0.0	0.0	0.6720831845380418
sc	0.368168627384689	0.0	0.0	0.0	1.0599594064193991	0.3360415922690209
l(1)sc	0.0	0.0	0.0	0.0	0.0	3.3604159226902093
ase	0.368168627384689	0.0	0.0	0.0	0.0	0.3360415922690209
CG13373	0.0	0.0	0.0	0.0	0.0	0.0
CG32817	4.418023528616268	2.543895573023547	15.060403043695485	7.571756505883971	4.2398376256775965	1.0081247768070627
CG3176	3.68168627384689	5.087791146047094	7.530201521847743	16.657864312944735	8.479675251355193	11.08937254487769
CG3156	86.51962743540192	86.4924494828006	75.30201521847744	99.94718587766842	166.41362680784567	176.421835941236
CG17778	451.74290580101336	455.35730757121485	231.5536967968181	231.6957490800495	587.2175111563472	1012.4933175065601
arg	8.099709802463158	10.175582292094187	7.530201521847743	7.571756505883971	13.77947228345219	14.785830059836922
CG17896	918.580725324799	931.0657797266181	1172.8288870277859	1175.1366097131922	708.0528834881587	761.4702480816014
CG18273	123.33649017387081	139.91425651629507	94.12751902309678	107.51894238355239	228.95123178659023	114.25414137146711
CR18275	43.4438980313933	30.526746876282562	37.65100760923872	43.91618773412703	99.63618420342353	52.422488393967264
Cyp4g1	3.3135176464622007	7.631686719070641	9.41275190230968	6.057405204707177	0.0	1.0081247768070627
pcl	0.0	0.0	0.0	0.0	0.0	0.6720831845380418
