,cluster,acc,mean nUMI,declining R^2,AUC,DC-age,DC,Cell Counts
0,0,0.6689669622805651,3196.5840837186665,0.9632662332080761,0.17828676173516228,0.445425322194779,DC1,4109
1,1,0.6685045588401443,2902.4081882814417,0.9741480077880487,0.16793461441441498,0.514228328304402,DC1,4079
2,2,0.5820957997351301,3746.7142356241234,0.9679466759815747,0.18258406350672296,0.370394221694343,DC1,2852
3,3,0.630345064137175,3412.6711128048782,0.9527119433742886,0.18421996040221045,0.32296907226698,DC1,2624
4,4,0.6676763366194347,3689.6851704996034,0.9629899374486741,0.18852932539319842,0.515515738003279,DC5,2522
5,5,0.7003249200252109,4669.46226821906,0.9452432751042773,0.19804669169940586,0.254297084199093,DC1,2319
6,6,0.6534134654246022,2402.16251298027,0.9467858149088316,0.1775189599027983,0.282830461559082,DC4,1926
7,7,0.10574538443598473,3568.008605851979,0.6099141394608283,0.19074187958973313,0.387364412764943,DC4,1743
8,8,0.6766051997804784,2651.688185140073,0.7750724274854669,0.18024297812860685,0.47255982735642,DC1,1642
9,9,0.6128105254712264,3434.347572815534,0.9421373060764898,0.1823288218360087,0.296736050950164,DC1,1545
10,10,0.7448669934980969,1793.6715893108299,0.9149741664113975,0.1418432624813559,0.160079430592872,DC9,1422
11,11,0.5335586991976413,2991.5985714285716,0.8283206891158021,0.18796747550502493,0.524092498885555,DC2,1400
12,12,0.51386852564495,3559.2328178694156,0.9728399295085103,0.1957381486050401,0.420877102522477,DC2,1164
13,13,0.7078688027899551,3312.7383177570096,0.934148333302523,0.18853808064247388,0.304376703513117,DC8,1070
14,14,0.6363926203101122,2148.9925163704397,0.8979147676287007,0.14839035057319117,0.533424617768567,DC4,1069
15,15,0.6300283360350383,3364.5925572519086,0.9335253766026671,0.17630845902161,0.288158834855846,DC4,1048
16,16,0.6482168434351395,3517.1206896551726,0.9237818199255299,0.18080790384832895,0.413696066588173,DC1,986
17,17,0.5393293584102203,2648.744655581948,0.8770799100643223,0.16496831917763927,0.26336264108262,DC3,842
18,18,0.6240525274747016,2630.0794871794874,0.9284071410012057,0.18468281179794763,0.370715750925573,DC1,780
19,19,0.6040168900381107,2585.3574297188757,0.9557128534384021,0.186144826276291,0.441407545229302,DC3,747
20,20,0.6786222416721553,2506.273097826087,0.9579161654782307,0.19162645030619382,0.461638955247991,DC1,736
21,21,0.306304449939661,3095.427012278308,0.8844842387352295,0.1902702367562508,0.155517629902505,DC3,733
22,22,0.6798958153104275,2469.1627906976746,0.9390892642139799,0.1674441197646939,0.359050898723539,DC2,688
23,23,0.24044741568436984,6723.68281938326,0.1705873012990763,0.2100034084048954,0.165551025740533,DC1,681
24,24,0.43731171382233747,2486.132716049383,0.7475303570639875,0.18280197522717662,0.323640229336907,DC1,648
25,25,0.4165069176935698,5175.760683760684,0.947421631114454,0.1936175546323538,0.309794932998483,DC1,585
26,26,0.7534875189050732,2879.5551601423485,0.9539908111189607,0.19917840745113471,0.354452189387251,DC4,562
