"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","expDiff"
"ENSG00000000003.15",3105.65065792575,-0.602652507365621,0.0924875485436042,-6.51603936806147,7.2188036644472e-11,2.72835500888819e-10,"down"
"ENSG00000000005.6",153.867959132246,-3.49639616856444,0.253627660356273,-13.7855475370984,3.11394966716902e-43,5.14701030726835e-42,"down"
"ENSG00000000419.13",2303.46287653633,0.450660556011917,0.0557709376625783,8.08056265323123,6.44686248969839e-16,3.31725780052642e-15,"up"
"ENSG00000000457.14",1565.84526851369,0.38728152003033,0.056226559930156,6.88787506316244,5.66319123377815e-12,2.31219199784673e-11,"up"
"ENSG00000000460.17",692.314917596461,1.32492005133893,0.0755192126989655,17.5441454430984,6.59371669132791e-69,2.47453539928236e-67,"up"
"ENSG00000000938.13",578.483882807904,-0.454357602798816,0.100398905802485,-4.52552345234394,6.02461996283824e-06,1.53498734000305e-05,"down"
"ENSG00000000971.16",3463.68425080459,-1.41582194798515,0.102306285148277,-13.83905149066,1.48148536809815e-43,2.48825412980095e-42,"down"
"ENSG00000001036.14",2614.75549291753,0.429222650105809,0.0673056049697355,6.37721999971344,1.80331329822358e-10,6.64397677308816e-10,"up"
"ENSG00000001084.13",2256.32734974604,-0.369074649481618,0.0679156889302099,-5.43430620074956,5.50100474422251e-08,1.67964989806087e-07,"down"
"ENSG00000001167.14",3114.88187414146,0.636717048885603,0.0637126477853556,9.99357381960749,1.6261103664398e-23,1.22091608933169e-22,"up"
"ENSG00000001460.18",673.238562603305,-0.0368780746912593,0.0500161143368537,-0.737323864122851,0.460925423204553,0.547885936482176,"no_change"
"ENSG00000001461.17",2892.93640045476,-0.254640286396568,0.0736834474935119,-3.45586824529336,0.000548523368877016,0.00112297184958121,"down"
"ENSG00000001497.18",3383.40318140235,0.475118532086513,0.0469316019644586,10.1236376385856,4.33980042390677e-24,3.34733427238159e-23,"up"
"ENSG00000001561.7",1837.41634127422,-0.194649032547408,0.104069501320804,-1.87037537488898,0.061431709107967,0.0918776598669935,"no_change"
"ENSG00000001617.12",6087.26310027605,1.14184025828621,0.082286652127162,13.8763727623972,8.80902735314733e-44,1.4899199016027e-42,"up"
"ENSG00000001626.16",67.375618320228,-0.740706048087155,0.221233413892978,-3.34807493611915,0.000813750048860745,0.00163009914189225,"down"
"ENSG00000001629.10",4654.58357471807,0.215554926188551,0.0551565960633986,3.90805346183412,9.30427206623531e-05,0.000208545599722222,"up"
"ENSG00000001630.17",118.346754698329,0.712452775488127,0.109375476579014,6.513825564668,7.32605689098391e-11,2.76797751075836e-10,"up"
"ENSG00000001631.16",382.24270498783,0.0415042562251911,0.0456200966864321,0.909780102187614,0.36293849023375,0.447780619114854,"no_change"
"ENSG00000002016.18",555.967529282923,-0.185036465505159,0.0569537408805806,-3.24889046170189,0.00115856082488879,0.00227845485020116,"down"
"ENSG00000002079.14",15.525225164746,1.05079617596275,0.151540521898716,6.93409368528547,4.08833661070376e-12,1.68498057179829e-11,"up"
"ENSG00000002330.14",525.461767472499,0.602211277632228,0.087866535123919,6.85370461897609,7.19615954943058e-12,2.91726726554524e-11,"up"
"ENSG00000002549.12",7521.15267409566,0.296266029651003,0.0628772985291178,4.71181231671085,2.45523453493609e-06,6.49522812631009e-06,"up"
"ENSG00000002586.20",10873.6482181157,0.0107171840251455,0.0834415315865253,0.128439445218383,0.897801216877786,0.921572700088544,"no_change"
"ENSG00000002587.10",310.039539079831,-0.390485771118454,0.0912112876288055,-4.28111236306168,1.85961426726394e-05,4.49656399401528e-05,"down"
"ENSG00000002726.21",140.583091045326,2.84903500792044,0.210011828983389,13.566069214824,6.36447706315806e-42,1.0058597940514e-40,"up"
"ENSG00000002745.13",7.13191312859381,0.363379950860516,0.177870185017661,2.04295031696535,0.0410573565935907,0.0636382772483005,"no_change"
"ENSG00000002746.15",41.8818085969489,-0.426387131068332,0.143936252085367,-2.96233315020212,0.00305317234271915,0.00566224464158281,"down"
"ENSG00000002822.15",24.5749465879714,0.775518894380084,0.126621218232969,6.12471515597974,9.08459787082034e-10,3.18726677023379e-09,"up"
"ENSG00000002834.18",20272.1104294594,0.709264741372235,0.0893663467024074,7.93659769638014,2.07802696476962e-15,1.04117382996254e-14,"up"
"ENSG00000002919.15",1757.51135604248,0.128206752864717,0.0573972135447783,2.23367555577757,0.0255044285048377,0.041051863564563,"up"
"ENSG00000002933.9",2571.26364169338,0.199970162755884,0.12409259203932,1.61145931009743,0.107079649063752,0.152293791388665,"no_change"
"ENSG00000003056.8",4009.29327659705,0.142258756446068,0.0580214756801429,2.45182934040325,0.0142132053647256,0.0238957003497214,"up"
"ENSG00000003096.14",733.522514718633,-2.59162864371356,0.153823476623522,-16.8480696224055,1.08395460341749e-63,3.41326420340234e-62,"down"
"ENSG00000003137.8",457.501727770704,-2.11623920835634,0.138764897505774,-15.2505370334618,1.63284600837463e-52,3.74736112749034e-51,"down"
"ENSG00000003147.19",2931.25336496517,0.737344476406823,0.0710550771408226,10.3770836100212,3.15258847178256e-25,2.55788167961305e-24,"up"
"ENSG00000003249.15",2525.71911297528,1.8984547540919,0.104105984327404,18.235788906442,2.68353801791342e-74,1.19635626241642e-72,"up"
"ENSG00000003393.15",1843.13666598117,-0.120068055495459,0.0441111834151234,-2.72194138084026,0.00648996533500399,0.0114868974355635,"down"
"ENSG00000003400.15",709.59608135036,-0.829019011547873,0.0961132789715747,-8.6254367806248,6.38484989605017e-18,3.62198429551056e-17,"down"
"ENSG00000003402.20",5242.18356346245,-0.99160514841671,0.0576301852312069,-17.2063501867725,2.37964958741944e-66,8.19189897443601e-65,"down"
"ENSG00000003436.16",1522.78446657296,-1.70507642972824,0.128026261826065,-13.3181771099803,1.81484728849833e-40,2.7306205423561e-39,"down"
"ENSG00000003509.16",706.239629252468,0.00674443118453881,0.0385275555868383,0.175054738921532,0.861036622134667,0.892700838849567,"no_change"
"ENSG00000003756.17",3885.42487167319,-0.41140353444805,0.051447160466037,-7.99662276248734,1.27878266629389e-15,6.48743095581893e-15,"down"
"ENSG00000003987.14",126.041962462015,0.386164182103396,0.121768073630924,3.17130895306638,0.00151753650780008,0.00293649503442909,"up"
"ENSG00000003989.18",14248.0008987491,1.23873492123762,0.199018077084073,6.22423319221564,4.8391688078077e-10,1.72757383130975e-09,"up"
"ENSG00000004059.11",5585.49150019943,0.764693951974806,0.0615020250305224,12.4336385931244,1.71640140547903e-35,2.1477299357709e-34,"up"
"ENSG00000004139.14",290.310072532076,-0.287115104763007,0.101301837751635,-2.83425366346203,0.00459328556238368,0.008310423594157,"down"
"ENSG00000004142.12",7538.97833514154,0.427972786978775,0.0610193176029046,7.01372620657435,2.32053296622606e-12,9.71699303627767e-12,"up"
"ENSG00000004399.13",10083.3756960514,-0.106045563565866,0.0725432035370483,-1.46182631032704,0.1437888123033,0.198761269588388,"no_change"
"ENSG00000004455.17",7694.23028919155,0.214601868686676,0.0469452199772067,4.57132523376974,4.84649395678038e-06,1.24619075486459e-05,"up"
"ENSG00000004468.13",379.333989689734,0.246030604987702,0.171738732689165,1.43258658740076,0.151976017037146,0.208961888946987,"no_change"
"ENSG00000004478.8",17198.8208948012,1.44072069548924,0.0795798785713756,18.1040826067239,2.95899991583279e-73,1.28658889977592e-71,"up"
"ENSG00000004487.17",6272.82773080047,0.439452996192531,0.0480418156439253,9.14730199727782,5.83731543962072e-20,3.6616178572823e-19,"up"
"ENSG00000004534.15",4276.29896771675,-0.261711630259324,0.0486476352675465,-5.37974001860508,7.45934826326918e-08,2.25400118950488e-07,"down"
"ENSG00000004660.15",751.365418216349,0.110240976523726,0.0778629684234366,1.41583321000826,0.15682434370876,0.214879622226712,"no_change"
"ENSG00000004700.16",1511.64648225138,-0.0724822613037397,0.0778268806357817,-0.931326820651414,0.351684532251063,0.43602253808971,"no_change"
"ENSG00000004766.17",1984.41270568754,0.00484065481943559,0.0596726641153278,0.0811201391994193,0.935346409703218,0.951197978060989,"no_change"
"ENSG00000004776.13",403.458864510909,-4.46551846807223,0.170383603275947,-26.2086162178414,2.11962008943676e-151,5.45206774128439e-149,"down"
"ENSG00000004777.18",750.923187829671,0.903391898962532,0.0939532695503209,9.6153322102184,6.88866187828479e-22,4.75569035128572e-21,"up"
"ENSG00000004779.10",3299.51028238391,0.695252801815369,0.059132637510678,11.7575138042815,6.46088446675563e-32,6.97668856864166e-31,"up"
"ENSG00000004799.8",5870.23400093794,-3.60524543818227,0.15375167751815,-23.4484949782528,1.36947803774271e-121,2.02917643877185e-119,"down"
"ENSG00000004809.14",15.8090560228341,0.367340347724891,0.214584116677165,1.71187109937658,0.0869204257339302,0.126038058344513,"no_change"
"ENSG00000004838.14",668.456714794079,2.52868392431241,0.152125762273877,16.6223254136267,4.8032827165234e-62,1.43456163846069e-60,"up"
"ENSG00000004846.16",56.6745925934858,-3.56386745805451,0.200880441330563,-17.7412367000425,2.01452086904408e-70,8.00649635322771e-69,"down"
"ENSG00000004848.8",69.5600752222999,1.90806194430639,0.270129381392815,7.06351132360435,1.6234696477155e-12,6.87100737850382e-12,"up"
"ENSG00000004864.14",1690.61484323957,0.401251319142358,0.0630761518116758,6.36137918401174,1.99950151258482e-10,7.34257112236896e-10,"up"
"ENSG00000004866.22",1442.15087580588,0.0746127470898998,0.0497006039575674,1.50124427368331,0.133292392544118,0.18560239021418,"no_change"
"ENSG00000004897.12",4242.19756959396,-0.00577004682270775,0.051147953888151,-0.112810902178522,0.91018047483397,0.931585474711584,"no_change"
"ENSG00000004939.15",5.19028096271355,-2.13469836741445,0.215560717499064,-9.90300270003379,4.03960702490039e-23,2.9687545366784e-22,"down"
"ENSG00000004948.16",35.4587374501275,-1.43591573388842,0.176191466846219,-8.14974618005591,3.64688904696056e-16,1.899576962629e-15,"down"
"ENSG00000004961.15",1408.82792753186,0.35019500557942,0.0565052236755807,6.19756869895836,5.73420129115329e-10,2.03630191666372e-09,"up"
"ENSG00000004975.12",1804.87165645862,-0.049775524721065,0.0481954575589906,-1.03278456605875,0.301704728033784,0.382138734453547,"no_change"
"ENSG00000005001.10",798.326569410744,1.47129105005345,0.110223022478949,13.3483097901297,1.21167019752849e-40,1.83635617324865e-39,"up"
"ENSG00000005007.13",8159.06854008772,0.305679860864445,0.0408697945570448,7.47935888050004,7.46860622184949e-14,3.40825412007753e-13,"up"
"ENSG00000005020.13",1989.88628410677,-1.17471878267243,0.0812801483300094,-14.4527145534098,2.40997254501946e-47,4.63032282726462e-46,"down"
"ENSG00000005022.6",12909.3032009242,0.61693742742648,0.0625544046196964,9.86241386481402,6.05752923906134e-23,4.41489933477274e-22,"up"
"ENSG00000005059.16",1279.91328928881,0.537873732369351,0.0672851995090326,7.99393828500344,1.30695202208688e-15,6.6237323811432e-15,"up"
"ENSG00000005073.6",62.6407839032496,1.03675085568286,0.170351924663299,6.08593567540842,1.1581293567376e-09,4.03446341004573e-09,"up"
"ENSG00000005075.15",1911.74137302739,0.856657573811457,0.0767266129205289,11.1650643916571,6.04473836918616e-29,5.77301514879408e-28,"up"
"ENSG00000005100.13",1621.85955224332,-0.0203880084156166,0.0521330744503888,-0.39107627222366,0.695740858813413,0.760196053284302,"no_change"
"ENSG00000005102.14",467.387904020394,-2.66394194646819,0.165717768010548,-16.0751739445261,3.80922676024489e-58,1.02833400482201e-56,"down"
"ENSG00000005108.16",361.351359667992,-1.24736725290438,0.108935380628423,-11.4505245743724,2.33726791883239e-30,2.37224144676881e-29,"down"
"ENSG00000005156.12",2906.76220691551,0.905308684365885,0.0618495778161456,14.6372653837187,1.62472610092342e-48,3.25977583395174e-47,"up"
"ENSG00000005175.10",2146.68131658573,0.322566699910714,0.041152009415825,7.83841918024714,4.56253731712789e-15,2.24161145042065e-14,"up"
"ENSG00000005187.12",261.0003243528,-1.67857698443479,0.130180543562684,-12.8942231957,4.85126793078638e-38,6.70840538239367e-37,"down"
"ENSG00000005189.20",538.723901776864,0.674617387111521,0.0751389872824712,8.978260308133,2.75081639301155e-19,1.6652932507475e-18,"up"
"ENSG00000005194.15",2428.27525744873,0.384287101867329,0.0549548574835445,6.99277769908508,2.6949635942833e-12,1.12376054794409e-11,"up"
"ENSG00000005206.17",2172.71131689422,0.550442660645326,0.0733182376191004,7.50758172209431,6.02295858746091e-14,2.76286102521689e-13,"up"
"ENSG00000005238.20",1345.25330033384,0.147431757519097,0.0569736128895546,2.587719999518,0.00966134788531493,0.0166733815653654,"up"
"ENSG00000005243.10",1076.71492658859,-0.908603697468845,0.107602397463838,-8.44408413645428,3.06438434113395e-17,1.67846437443256e-16,"down"
"ENSG00000005249.13",4582.76495727046,-2.49119280048705,0.116404382775715,-21.4011941911759,1.30229533490292e-101,1.20455741229354e-99,"down"
"ENSG00000005302.19",1875.14801044634,0.0542852353637854,0.054830011039351,0.99006427930181,0.322142701539092,0.404256642180824,"no_change"
"ENSG00000005339.15",8304.36258478283,-0.0775513392791414,0.0498375079528864,-1.55608381045967,0.119688164218484,0.168416085768742,"no_change"
"ENSG00000005379.17",1381.28144918963,-0.202911004980629,0.11354849407907,-1.7869986442914,0.0739377076868311,0.108801116746209,"no_change"
"ENSG00000005381.8",16.6335228372558,-1.04301363544045,0.148757215471248,-7.01151626249717,2.35749083153057e-12,9.86814021956729e-12,"down"
"ENSG00000005421.9",26.9482141228005,0.79599791621707,0.22696065855369,3.50720658500718,0.000452837444826111,0.000936288042420677,"up"
"ENSG00000005436.14",1102.48396054394,-0.255032252464456,0.0476893493602221,-5.34778217538818,8.90385309296458e-08,2.67179783629167e-07,"down"
"ENSG00000005448.17",837.437790165124,1.03717948008601,0.081694573368643,12.6958185509555,6.23743703177119e-37,8.29695103136676e-36,"up"
"ENSG00000005469.12",1905.9256961332,0.292793188689198,0.103883280439672,2.81848231447823,0.00482512690864361,0.00869997852755385,"up"
"ENSG00000005471.19",118.966361760108,0.28744148882694,0.0877533719629354,3.27556061262634,0.00105452483085271,0.00208352044968675,"up"
"ENSG00000005483.21",5558.13001235591,-0.355694516491302,0.0565978757954255,-6.28459127648129,3.28717357416986e-10,1.19050183589121e-09,"down"
"ENSG00000005486.17",6075.18063401724,0.76941230568861,0.0653201922469522,11.779088199553,5.00313415934433e-32,5.43460255007308e-31,"up"
"ENSG00000005513.10",375.714331993646,0.401080676028408,0.240211887252101,1.66969537026898,0.0949796502175982,0.136655247476989,"no_change"
"ENSG00000005700.15",4601.10407580311,0.0400965400897831,0.0561595241697321,0.713975780289707,0.475242156010985,0.562101837069568,"no_change"
"ENSG00000005801.18",1471.85710465786,0.0341236678550416,0.0503451782821608,0.6777941606204,0.497902214012651,0.584000329667459,"no_change"
"ENSG00000005810.18",4473.78486863985,-1.14949028008275,0.076105221832772,-15.1039607059888,1.52491769039124e-51,3.38103421087472e-50,"down"
"ENSG00000005812.11",3306.23525105819,-0.568828523566575,0.0613385907227513,-9.27358318579023,1.79995238864202e-20,1.16071577625316e-19,"down"
"ENSG00000005844.19",1558.12505243368,1.02211565666355,0.109239713797959,9.3566306714605,8.23199385765528e-21,5.40593572536929e-20,"up"
"ENSG00000005882.12",1444.70925094553,-0.956312598283518,0.0822276162477023,-11.630065930681,2.89873599370348e-31,3.044703543742e-30,"down"
"ENSG00000005884.18",6081.56475881657,-0.304158553183858,0.0993174454704915,-3.06248868708799,0.00219504772435774,0.00415909038485843,"down"
"ENSG00000005889.16",3793.39961770934,-0.0606583794394267,0.0689128142945494,-0.880219158952914,0.378740596473355,0.464261685350661,"no_change"
"ENSG00000005893.16",16259.5650052318,0.167507567695024,0.0542974585801477,3.08499830517424,0.00203553313078234,0.00387575745551112,"up"
"ENSG00000005961.19",64.4617102902845,0.640320964524946,0.133108525244671,4.81051805921486,1.50539600540306e-06,4.06706532763199e-06,"up"
"ENSG00000005981.13",16.4070935381015,-1.31571430655021,0.199454001023711,-6.59658016283061,4.20750048805135e-11,1.6170604368793e-10,"down"
"ENSG00000006007.12",5270.47075919707,0.349720506143471,0.0538463883794831,6.4947811110155,8.31542232231063e-11,3.12990472728537e-10,"up"
"ENSG00000006015.18",1097.22584682301,0.71618409940803,0.103455858206193,6.9226055616941,4.43411142317799e-12,1.82338594853785e-11,"up"
"ENSG00000006016.11",375.53345835333,0.373017681600149,0.179871803081429,2.07379742244137,0.0380981286657417,0.0594358327981799,"no_change"
"ENSG00000006025.12",662.246559988886,0.040817251502477,0.078383507249695,0.520737753829404,0.602549470388771,0.680355310901622,"no_change"
"ENSG00000006042.12",2822.22608366354,-0.355516670330211,0.0964900103182949,-3.68449199204618,0.000229159229836572,0.000491938078491535,"down"
"ENSG00000006047.13",554.380302860078,0.640156202420395,0.140134444238991,4.56815742836675,4.92030428336826e-06,1.26431772148398e-05,"up"
"ENSG00000006059.4",12.2904219602816,0.877757678610157,0.258237558062413,3.3990318263388,0.00067624846669325,0.00136957738963818,"up"
"ENSG00000006062.17",909.976031105306,-0.408131777133558,0.0727066007658186,-5.61340748755554,1.98380684478682e-08,6.28354177714041e-08,"down"
"ENSG00000006071.15",698.691278284292,0.856518758572525,0.210007114425872,4.07852258202832,4.5322800676828e-05,0.000105169754649464,"up"
"ENSG00000006116.4",0.455412865131096,0.947823504252272,0.357949133094017,2.64792792221492,0.00809867902418819,0.0141369483824185,"up"
"ENSG00000006118.15",5641.89925953267,2.17970469459729,0.112609617235388,19.3562925450768,1.80411793507999e-83,1.0535910670617e-81,"up"
"ENSG00000006125.18",23795.5131526703,0.466241760855662,0.0711230919780172,6.55542029865304,5.54853775840752e-11,2.11629291293476e-10,"up"
"ENSG00000006128.12",41.8487241229384,-1.47100998537185,0.245926089332991,-5.98151253232858,2.21075045219975e-09,7.52951048530579e-09,"down"
"ENSG00000006194.10",2625.27831537448,0.407080287875203,0.0459097313451605,8.86697168438374,7.51620147785781e-19,4.46457297176596e-18,"up"
"ENSG00000006210.7",5658.60165259153,-2.37058433481103,0.142183985227125,-16.6726536116163,2.07188681333676e-62,6.28637095749658e-61,"down"
"ENSG00000006282.21",3985.38241332711,0.566528762922125,0.0945652608961539,5.9908761161697,2.08713585971723e-09,7.11961818932747e-09,"up"
"ENSG00000006283.18",96.6124676667345,-1.10925431915346,0.167407479854801,-6.62607381770254,3.44732828419126e-11,1.33318629522507e-10,"down"
"ENSG00000006327.14",2849.15665128594,1.04328033846955,0.110694221119459,9.42488530944778,4.30575870920404e-21,2.86372984458029e-20,"up"
"ENSG00000006377.11",36.328839726973,2.32482956105349,0.285705218383331,8.13716170187086,4.04652108358782e-16,2.10223496893304e-15,"up"
"ENSG00000006432.15",1046.3827336735,0.510582223220908,0.0825477478792641,6.1852956178489,6.19861981141095e-10,2.19611396785151e-09,"up"
"ENSG00000006451.8",4782.04872624364,0.242729191464796,0.0432127047660383,5.61707934689527,1.94212251010144e-08,6.15576871754895e-08,"up"
"ENSG00000006453.14",1869.87910097955,1.13308550229359,0.0776036457550082,14.6009313257098,2.77034834249423e-48,5.50761610339115e-47,"up"
"ENSG00000006459.11",2431.92833918907,-0.298139191250376,0.0781381840522954,-3.81553775361405,0.000135886676853387,0.000299387493370498,"down"
"ENSG00000006468.14",893.161007926607,-1.03067002559464,0.105295608796453,-9.78834765642537,1.26343631557016e-22,9.04698650428211e-22,"down"
"ENSG00000006530.18",1713.49403082412,0.244167457581567,0.0437493563655108,5.58105256547393,2.3906737214324e-08,7.52488631484823e-08,"up"
"ENSG00000006534.16",960.780467136317,0.489548259423002,0.0926074174373374,5.28627482516995,1.24832308606559e-07,3.69979754631751e-07,"up"
"ENSG00000006555.11",705.09633765307,0.319043262792959,0.15046273166889,2.120413867635,0.0339711582295141,0.0535319043035037,"no_change"
"ENSG00000006576.16",2104.58861094396,0.682769076130184,0.055513837083205,12.2990791486245,9.16125884068838e-35,1.11687976290869e-33,"up"
"ENSG00000006606.9",18.8125186026156,0.227479663613879,0.137474479235978,1.65470467593774,0.0979844181146981,0.140514817658454,"no_change"
"ENSG00000006607.14",2213.31161057768,0.244363429715485,0.0543183960496009,4.49872322246674,6.83627907860074e-06,1.73310652056332e-05,"up"
"ENSG00000006611.17",24.573399654832,-0.0750419768506682,0.22980529469214,-0.326545900307469,0.744011367354936,0.799487430866169,"no_change"
"ENSG00000006625.18",2510.61849956023,1.44228233418679,0.0866629590690073,16.6424312033743,3.43388486293743e-62,1.03298566655447e-60,"up"
"ENSG00000006634.8",900.507602228671,1.23406177181186,0.0721771785908862,17.097672642578,1.54450030340073e-65,5.21496654802377e-64,"up"
"ENSG00000006638.13",161.96913980382,0.375033268447593,0.080035337699252,4.6858460178784,2.78805827089763e-06,7.33670026628243e-06,"up"
"ENSG00000006652.15",538.906731672763,-0.54012679030685,0.0911735713095211,-5.924159628158,3.13898435068233e-09,1.05854311332393e-08,"down"
"ENSG00000006659.13",3.48981685684919,0.466360458716913,0.31825965724674,1.46534582092933,0.14282659108917,0.197544496662467,"no_change"
"ENSG00000006695.12",925.396491158989,-0.0976965840079777,0.0461301629406212,-2.11784606383751,0.0341881067211374,0.0538297750694091,"no_change"
"ENSG00000006704.11",2223.30156442369,1.10300475176501,0.0519256926948246,21.2419843534401,3.9101847980185e-100,3.49663693314995e-98,"up"
