"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","103/2394","203/8545",0.507389162561576,1.81104444197522,7.29587539297231,3.80137258051161e-12,1.31147354027651e-09,8.64312081463693e-10,"ITGA3/FYN/IGF1/HGF/VCL/FLT4/LAMC3/LAMA3/LAMC2/PPP1R12A/MYLK/ROCK1/ACTN1/PPP1R12B/PAK3/ITGA8/COL4A4/PXN/LAMB4/LAMB1/ITGA6/MAPK1/SOS2/ARHGAP5/MYL9/PAK5/LAMA1/FLT1/ITGB8/CAV2/CAV1/MET/MYL7/PIP5K1B/RAPGEF1/MAPK8/MAPK10/BIRC2/VWF/MYL2/CCND3/LAMA4/PDGFRB/SOS1/RAP1A/AKT3/CCND2/TNN/PIK3CA/PPP1R12C/RAP1B/KDR/RAF1/ITGB4/ROCK2/EMP1/PDGFRA/COL4A2/ITGA7/LAMC1/TLN1/EGF/ITGA10/ITGA9/PDGFC/PIK3R1/MYLK4/EGFR/SHC3/ITGB1/VEGFC/DOCK1/PRKCA/BRAF/ZYX/ITGA2/VEGFD/ILK/CRK/CTNNB1/TNXB/COL4A3/MAP2K1/PDGFD/PTEN/TLN2/LAMB2/VEGFB/JUN/CAV3/COL4A1/PARVB/RELN/LAMA2/LAMB3/FLNA/PDGFA/COL4A6/PARVA/COL6A6/PPP1CB/ITGA1/ITGB3",103,103,203
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","107/2394","232/8545",0.461206896551724,1.64620423184398,6.22522036250717,2.03494318723031e-09,3.51027699797229e-07,2.31340909706183e-07,"ITGA3/DCN/ATP1A2/FHL1/VIM/VCL/MYOM2/DSG2/SYNE2/PKP2/FBLN1/ITGA8/MYH7B/COL4A4/ITGA6/CAPN3/SUN2/DAAM1/MYL9/SNTA1/TNNC2/MYOM1/LAMA1/SGCG/ITGB8/MYL7/PDLIM1/SGCA/MYH1/MYH3/MYL2/SPTBN1/AMPD1/NID1/LDB3/SSPN/MYH2/SGCE/FLNC/TMOD2/ATP1B2/TNNT3/SYNE1/PDLIM4/ITGB4/MYH10/MYH11/DTNA/COL4A2/ITGA7/TMOD1/TLN1/TPM1/MYOM3/HSPG2/ITGA10/ITGA9/ANK2/DAAM2/DIAPH2/TRIM55/ITGB1/OBSCN/PDLIM3/TTN/FMN2/FMNL2/TRIM63/CSRP1/ACTC1/ZYX/MYL3/SDC3/ACTG2/SGCB/LMOD1/FBLN2/ITGA2/SUN1/FBN1/SNTB2/COL4A3/SDC2/SGCD/LMOD2/TMEM43/TLN2/SNTB1/MYOZ2/SYNPO2/DES/CSRP2/SYNE3/CAPZA3/SGCZ/COL4A1/MYBPC1/LAMA2/COL4A6/SPTAN1/TPM2/CAPZA2/DMD/COL6A6/ITGA1/ACTN3/ITGB3",107,107,232
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","149/2394","362/8545",0.411602209944751,1.46914823892143,5.69020521666979,2.67944791147451e-08,3.08136509819569e-06,2.0307394697491e-06,"ITGA3/IGF1/HGF/FLT4/PHLPP2/LAMC3/LAMA3/LAMC2/EIF4B/NGFR/PKN2/PPP2R5A/PPP2R5B/GNB5/PPP2R3A/IL4R/FGFR1/ITGA8/PPP2R5C/FGF20/COL4A4/PHLPP1/FLT3LG/LAMB4/LAMB1/ITGA6/ANGPT2/PPP2R3C/JAK2/MAPK1/SOS2/SGK2/ANGPT4/LAMA1/FGF9/FLT1/RBL2/IL7/PPP2CB/CDK6/ITGB8/MET/FGF8/CSF3/IL2/VWF/GYS2/CCND3/LAMA4/GHR/IL4/FGF1/PDGFRB/SOS1/ATF2/AKT3/CREB1/SGK1/FOXO3/CCND2/TEK/IFNA8/TNN/PIK3CA/NR4A1/PCK1/CDKN1A/GNG11/KDR/G6PC1/RAF1/PRKAA1/ITGB4/NGF/PDGFRA/COL4A2/ITGA7/LAMC1/IL6/TLR4/MYC/RPS6/PPP2R1B/FGF2/EGF/LPAR6/FGF7/IFNAR1/EPHA2/ITGA10/MCL1/ITGA9/PDGFC/PIK3R1/CREB5/EGFR/LPAR4/NTRK2/ITGB1/VEGFC/MAGI1/G6PC2/ANGPT1/PRKCA/PPP2R2B/KIT/FGF17/PKN3/IL6R/JAK1/TGFA/ITGA2/NOS3/VEGFD/TSC1/IGF2/TNXB/CHRM1/COL4A3/MAP2K1/IRS1/YWHAG/PDGFD/PTEN/LAMB2/GNG12/VEGFB/GNG7/CHRM2/CREB3L2/CSF1R/EFNA5/CSF1/IL3RA/NTF3/RXRA/GNG2/COL4A1/RELN/FGF16/LAMA2/LAMB3/PDGFA/COL4A6/LPAR1/COL6A6/ITGA1/NTF4/ITGB3",149,149,362
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","111/2394","254/8545",0.437007874015748,1.55982969234109,5.65052966159395,4.14970001871591e-08,3.47330757787771e-06,2.28904481104984e-06,"CACNA1G/HGF/FLT4/ADRB1/PHKA2/PTGER3/MCOLN3/ATP2B4/MYLK/ATP2B1/NFATC3/FGFR1/FGF20/ITPKC/NOS1/P2RX6/SLC8A3/NFATC2/TNNC2/HTR2A/FGF9/FLT1/PHKB/MET/PPP3CB/FGF8/STIM2/FGF1/PDGFRB/PDE1A/TACR1/CASQ2/ADRA1A/PPP3CC/PTGFR/ITPR2/PDE1B/KDR/ADCY4/HRC/NFATC1/CAMK1/NGF/PDGFRA/EDNRB/ADCY3/LHCGR/PLCE1/FGF2/EGF/PPP3CA/PLCZ1/FGF7/NTRK3/GNAL/ITPKB/CAMK2D/PDGFC/MYLK4/EGFR/NTRK2/CAMK2G/VEGFC/ITPR1/CACNA1C/SLC25A4/CYSLTR2/PRKCA/PDE1C/GNAQ/FGF17/PLCD3/TGFA/C4orf3/HTR4/PHKG1/NOS3/VEGFD/AVPR1A/CHRFAM7A/STIM1/BDKRB2/CHRM1/ADRB2/ADRA1B/ADORA2B/PDGFD/VEGFB/CHRNA7/OXTR/CHRM2/PLCB1/SLC8A1/GRIN2A/DRD1/TRDN/TPCN1/PLCD1/PPP3R2/ADRB3/RYR1/FGF16/HRH1/PDGFA/PLCG2/ASPH/PLN/CALM1/GRIN3A/RYR3/GRIN2B",111,111,254
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","79/2394","166/8545",0.475903614457831,1.69866181518052,5.67080594589714,5.0337790983735e-08,3.47330757787771e-06,2.28904481104984e-06,"ATP1A2/ADRB1/PPP1R12A/ATP2B4/MYLK/ROCK1/MEF2A/ATP2B1/NFATC3/IRAG1/MEF2C/MAPK1/SLC8A3/NFATC2/MYL9/PPP3CB/SRF/GNAI2/ATF2/RGS2/AKT3/CREB1/ADRA1A/PPP3CC/KCNJ8/ITPR2/GNAI1/ATP1B2/ADCY4/NFATC1/RAF1/ROCK2/EDNRB/TRPC6/FXYD2/ADCY3/PRKG2/PDE5A/PPP3CA/KCNMB1/MYLK4/GNA12/CREB5/ADRA2A/ITPR1/CACNA1C/SLC25A4/PDE3B/GUCY1A2/GNAQ/KCNMA1/NPR2/GUCY1A1/NOS3/BDKRB2/MAP2K1/IRS1/ADRB2/NPR1/ADRA1B/PRKCE/PDE3A/ADCY5/ADCY6/NPPA/CREB3L2/PLCB1/SLC8A1/PRKG1/IRS2/PDE2A/PPP3R2/ADRB3/KCNMB2/CNGA1/PLN/CALM1/PPP1CB/ADRA2B",79,79,166
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","95/2394","212/8545",0.44811320754717,1.59946840371369,5.51382993044472,9.35867291564565e-08,5.38123692649625e-06,3.5464444732973e-06,"IGF1/HGF/MAP2K3/FLT4/NGFR/RASGRP2/APBB1IP/FGFR1/FGF20/RAPGEF3/RAPGEF4/ANGPT2/MAPK1/ANGPT4/FGF9/FLT1/MET/RAPGEF1/FGF8/MAP2K6/RAPGEF2/MAPK14/FGF1/PDGFRB/GNAI2/PRKD3/RAP1A/AKT3/CNR1/TEK/ARAP3/PIK3CA/ID1/RRAS/RAP1B/GNAI1/KDR/DOCK4/ADCY4/AFDN/RAF1/NGF/PDGFRA/RAPGEF5/TLN1/ADCY3/PLCE1/FGF2/EGF/FGF7/EPHA2/PDGFC/PIK3R1/EGFR/LPAR4/PARD3/DRD2/ITGB1/VEGFC/MAGI1/RASGRP3/ANGPT1/PRKCA/GNAQ/KIT/BRAF/MRAS/FGF17/RALGDS/VEGFD/CRK/CTNNB1/MAP2K1/P2RY1/ADORA2B/PDGFD/TLN2/ADCY5/VEGFB/ADCY6/PARD6G/CSF1R/PLCB1/GRIN2A/PRKD1/EFNA5/CSF1/MAPK11/FGF16/PDGFA/LPAR1/CTNND1/CALM1/ITGB3/GRIN2B",95,95,212
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","125/2394","300/8545",0.416666666666667,1.48722500696185,5.35938180155751,1.62623437383702e-07,8.01501227105388e-06,5.28220488344055e-06,"MAP3K14/CACNA1G/IGF1/HGF/FAS/MAP2K3/FLT4/TAB2/NGFR/TNFRSF1A/RASGRP2/RPS6KA2/NFATC3/FGFR1/FGF20/MKNK1/MEF2C/MECOM/MAP3K4/FLT3LG/MAP3K20/ANGPT2/GADD45B/MAPK1/SOS2/PPM1A/RPS6KA5/ANGPT4/FGF9/FLT1/MET/MAPK8/PPP3CB/FGF8/MAP3K8/DUSP3/MAP2K6/MAPK10/RAPGEF2/PTPN5/MAPK14/SRF/RASGRF2/FGF1/PDGFRB/IL1R1/SOS1/ATF2/RAP1A/PLA2G4A/GADD45A/AKT3/DUSP1/TEK/PPP3CC/NR4A1/IL1B/RRAS/RAP1B/KDR/JUND/NFATC1/RAF1/RRAS2/NGF/PDGFRA/MYC/ARRB1/MAP2K5/FGF2/EGF/PPP3CA/DUSP6/FGF7/EPHA2/MAP3K6/PDGFC/GNA12/EGFR/NTRK2/VEGFC/CACNA1C/RASGRP3/CACNA2D1/ANGPT1/PRKCA/RASA2/KIT/BRAF/DUSP2/MRAS/FGF17/TGFA/TGFBR2/DUSP7/VEGFD/CACNG2/CRK/IGF2/JMJD7-PLA2G4B/MAP2K1/FOS/CD14/PDGFD/RASGRP4/GNG12/VEGFB/TRAF6/RPS6KA3/JUN/CACNB4/CSF1R/EFNA5/CSF1/MAPK11/NTF3/PPP3R2/IL1RAP/FGF16/FLNA/MAP3K5/PDGFA/MAP3K3/NTF4/PLA2G4B",125,125,300
"hsa00640","Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","23/2394","32/8545",0.71875,2.56546313700919,5.53472882349926,3.13572811058234e-07,1.35228274768864e-05,8.91206936691824e-06,"ACACB/BCKDHB/HADHA/DLD/ECHDC1/MLYCD/ACSS3/LDHB/EHHADH/ALDH6A1/ACADS/ECHS1/ACSS2/SUCLA2/DBT/MMUT/ACOX1/SUCLG1/LDHAL6A/LDHAL6B/SUCLG2/PCCA/HIBCH",23,23,32
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","102/2394","238/8545",0.428571428571429,1.5297171500179,5.17047254587173,4.64304519240595e-07,1.77983399042228e-05,1.1729798380815e-05,"IGF1/HGF/GAB2/FLT4/NGFR/RASGRP2/GNB5/RASAL2/PLD1/PAK3/FGFR1/FGF20/FLT3LG/ANGPT2/ABL1/MAPK1/SOS2/ANGPT4/PAK5/FGF9/FLT1/RASA4/MET/MAPK8/FGF8/MAPK10/GAB1/RASGRF2/FGF1/PDGFRB/SOS1/RAP1A/PLA2G4A/AKT3/TEK/PIK3CA/RRAS/RAP1B/PLA2G5/GNG11/KDR/PLD2/AFDN/RAF1/RRAS2/NGF/PDGFRA/ETS1/RAPGEF5/PLCE1/FGF2/EGF/FGF7/KSR1/EPHA2/RGL1/PDGFC/PIK3R1/EGFR/NTRK2/SHC3/VEGFC/RASGRP3/ANGPT1/PRKCA/RASA2/KIT/ETS2/MRAS/FGF17/RALGDS/TGFA/VEGFD/IGF2/JMJD7-PLA2G4B/MAP2K1/RASA4B/PDGFD/RASGRP4/GNG12/VEGFB/PLAAT3/GNG7/PTPN11/CSF1R/GRIN2A/EFNA5/CSF1/PLA2G6/FOXO4/NTF3/RASA3/GNG2/PLA2G2A/RALGAPA2/FGF16/PDGFA/PLCG2/CALM1/NTF4/PLA2G4B/GRIN2B",102,102,238
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","96/2394","226/8545",0.424778761061947,1.51617983010624,4.90613525761133,1.62667631463431e-06,5.5977653317953e-05,3.68914511569118e-05,"CFTR/ATP1A2/ADRB1/PTGER3/PPP1R12A/ATP2B4/ROCK1/ATP2B1/PLD1/EDN1/ADCYAP1R1/RAPGEF3/LIPE/RAPGEF4/MAPK1/EP300/NFKBIA/MYL9/OXT/CRHR2/MAPK8/MAPK10/GLI1/GLP1R/POPDC1/GNAI2/RAP1A/AKT3/CREB1/ARAP3/POPDC2/PIK3CA/EDN3/GRIA3/RRAS/RAP1B/GNAI1/PLD2/ATP1B2/ADCY4/AFDN/NFATC1/RAF1/RRAS2/TSHB/ROCK2/FXYD2/ADCY3/LHCGR/PLCE1/SSTR1/CAMK2D/PIK3R1/VIP/CREB5/CAMK2G/DRD2/CACNA1C/PDE3B/GRIA4/BRAF/ACOX1/HHIP/HTR4/TSHR/CHRM1/MAP2K1/ADRB2/NPR1/FOS/PDE3A/ADCY5/ADCY6/NPPA/JUN/HTR1F/OXTR/CHRM2/CREB3L2/HCAR2/GRIN2A/PDE4B/DRD1/PTCH1/PPARA/HCAR1/CNGA1/PLN/CALM1/GRIN3A/SUCNR1/GABBR1/PPP1CB/HCAR3/FXYD1/GRIN2B",96,96,226
