"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"GO:0032543","GO:0032543","mitochondrial translation","102/8420","131/18986",0.778625954198473,1.7556998059872,7.74778808433258,4.15309959169931e-15,1.73551282116401e-11,1.5587641840995e-11,"LARS2/MRPS10/MRPL43/MRPS35/IARS2/MRPS34/MRPL22/MTIF2/MRPL28/MRPS33/MRPS18A/ALKBH1/MTG2/CDK5RAP1/EARS2/SARS2/MRPL4/GARS1/PTCD1/MRPL32/C1QBP/MRPL27/MRPL51/MRPL18/MRPL2/MRPS30/MRPL3/MRPL19/MRPL37/MRPS15/DARS2/MRPS14/MRPS2/METTL8/FASTKD3/AARS2/MRPS7/MRPS26/MRPS12/MRPL34/QRSL1/MRPL35/DAP3/MRPL44/TACO1/MRPL47/UQCC2/MRPL15/LRPPRC/YARS2/MRPL24/TARS2/MRPL9/MRPS5/MRPS28/MTG1/MRPL49/RMND1/MALSU1/RPUSD3/MRPL17/MRPL55/GFM2/TRUB2/MRPL58/GFM1/HARS1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/TRMT10C/MRPL11/MRPL48/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS23/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/MRPL54/COA3/MRPL30/MRPL40/MRPL21/MRPL42/MRPL38/MRPS18B/MRPL23/MRPS17/MRPL20/MPV17L2/GATC/MRPL46/MRPL12/MRPS21/RCC1L",102,102,131
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","303/8420","492/18986",0.615853658536585,1.38866954405886,7.79746939673036,5.43621870372438e-15,1.73551282116401e-11,1.5587641840995e-11,"LAS1L/REXO5/RPUSD1/LUC7L/TSR3/UTP18/STRAP/TFB1M/RPL26L1/LSG1/GEMIN8/NOP16/MRTO4/NOP58/USP36/SFSWAP/U2AF2/DDX20/WDR3/WDR18/DHX29/RRP15/BUD23/CLNS1A/SART3/EXOSC7/XAB2/EXOSC5/XRCC5/REXO1/HSP90AA1/XPO1/WBP11/EIF3I/AK6/RRN3/NOP14/SF3B2/XRN2/GEMIN2/SRPK1/HSP90AB1/PES1/SNU13/MCAT/PHF5A/PRMT5/CINP/PRPF6/MTG2/CRNKL1/NOP56/CELF4/SUV39H1/HTATSF1/PIN4/EIF3J/PIH1D1/ERCC2/SF3A2/POP4/RPS16/YJU2/RPS19/GRWD1/PRPF31/DDX49/EIF3B/EXOSC3/NPM3/GTPBP4/C1QBP/FTSJ3/UTP6/GAR1/PRPF19/PTGES3/NOP2/SRSF9/PAK1IP1/BYSL/DROSHA/BRIX1/RRP9/SF3B6/RPS15/WDR75/NOL10/PNO1/WDR77/RPF1/ZNHIT6/PRPF3/EBNA1BP2/ERI3/NSUN4/UTP25/HEATR1/WDR55/COIL/TENT4B/GTF3A/MRPS2/MRM2/DDX54/EXOSC9/AGO2/DDX27/MPHOSPH10/RRP36/SNRPC/RIOK1/RPP40/MRPS7/DDX31/SNRPD2/SNRPB/SNRPB2/EIF2S2/EMG1/KRI1/NGDN/GNL3L/NSUN5/LSM4/EXOSC2/EIF2S3/PPAN/DKC1/NOL11/AAR2/SNRPA1/DHX30/RAN/ERAL1/PRMT7/KHDC4/WDR74/RBMX2/GNL2/SRPK2/NAT10/LTV1/MPHOSPH6/URB2/DHX9/DDX56/SRSF1/IMP4/NCBP1/RPL35/TGS1/WDR12/SNRPF/TARBP2/DENR/CUL4A/EFL1/NOL3/PELP1/EIF4A3/TXNL4A/GEMIN7/METTL25B/ISG20L2/SF3B4/C1orf131/NVL/SDE2/SNRPG/SNRNP200/SHQ1/LYAR/AFG2A/DDX46/NHP2/ABT1/RPL7L1/LUC7L2/EIF3H/UTP23/CDKN2A/SURF6/REXO4/PDCD11/CELF1/LTO1/PIH1D2/DHX37/GEMIN6/RPP38/HEATR3/MTERF3/UTP14A/MALSU1/EIF5B/TSR2/CELF3/RRP1B/RRP1/SLX9/ADAR/TFB2M/UTP15/DCAF13/NOL6/DDX21/BMS1/RPUSD2/NOLC1/SNRPD1/RPSA/USP39/CD2BP2/ZRSR2/METTL15/SF3B5/PA2G4/EXOSC1/CHD7/AFG2B/METTL18/RPS21/MRM3/SMN1/ISG20/POP7/CLP1/RPL38/TRMT112/ZNF622/DDX23/SART1/RUVBL1/RBIS/IMP3/DDX10/RPP25/EXOSC4/RRS1/PUF60/NPM1/SNRPE/NOP10/YBEY/VCX/NGRN/RPS17/DDX28/RBM10/RUVBL2/UTP11/TBL3/TSSC4/SRPK3/NOC4L/RPS19BP1/SIRT7/SRSF10/FBLL1/RBM34/TRMT2B/NOC2L/SF3B3/RRP7A/ERI2/RPF2/NOL8/SDAD1/YTHDF2/TMA16/RNU5A-1/RNU5B-1/RNU5D-1/RNU4-1/RNVU1-3/RNU4-2/LSM2/RNVU1-7/RNVU1-15/RNU6-9/RNU6ATAC/NSUN5P1/NOL7/WDR46/MCTS1/RPS28/ISY1/PWP2/EIF6/PRKDC/MPV17L2/FDXACB1/BOP1/ZNHIT3/TAF9/RCC1L/LOC102724159/AATF/DDX52/RNVU1-2A/MRM1/RNVU1-8",303,303,492
"GO:0007059","GO:0007059","chromosome segregation","269/8420","429/18986",0.627039627039627,1.41389244168342,7.74048727674943,8.45704089549414e-15,1.79994020392434e-11,1.61663013328604e-11,"FIRRM/MAD1L1/POLDIP2/SLC25A5/BAZ1B/ZNF207/NCAPD2/AKAP8L/DPF1/BRCA1/TACC3/NCAPH2/CENPQ/SPDL1/TPR/NDC1/RNF4/SMARCD1/ASPM/CDC42/RAD18/TRIP13/SMC1A/CHFR/NDE1/SMARCE1/NUP37/ACTB/MLH1/SPAG5/ACTL6B/TOP2B/KIF22/NDC80/SEH1L/CHMP5/AURKA/TPX2/ANAPC5/BIRC5/NUDC/KIF4A/CDC6/CDC23/AAAS/SRPK1/BCL7C/MISP/SMARCB1/CENPM/DMC1/REC8/MYBL2/CSNK2A1/KIF3B/MAPRE1/CHMP4B/FAM83D/CENPI/UBE2I/RAB11A/OIP5/ERCC2/CCDC61/AKAP8/CCNE1/PPP2R1A/BCCIP/KPNB1/RECQL5/SMARCD2/NCAPG/ANAPC15/FBXO5/TTK/IK/SMC4/ECT2/TTL/ACTR3/WRAP73/MAD2L2/CDC20/NEK2/NSL1/ARID1A/CENPF/KIF14/NEK6/NUP43/CENPL/TEX11/TEX14/NCAPH/MND1/KIF18A/GPSM2/NAA60/ZWINT/CENPK/STIL/HJURP/MAD2L1BP/XRCC3/DLGAP5/SMARCA4/KNSTRN/SGO1/MAU2/MAP1S/TUBGCP2/CEP85/CHMP2A/CHMP1A/HAUS8/TUBG1/PSMC3IP/TOP2A/RAN/TEX15/DPF2/CCNB1/ARL8B/PSRC1/CDCA8/ESPL1/BRIP1/ACTL6A/C9orf78/SMC2/NUSAP1/KIF23/KNL1/ACTR2/CENPO/KIF11/CENPE/PRICKLE1/DIAPH3/CSNK1D/ANAPC11/P3H4/ITGB3BP/KIF2C/MAEL/NUF2/HORMAD1/ARL8A/CIAO1/FANCD2/DYNC1LI1/BOD1/CDCA5/TLK2/NCAPG2/TERF1/HAUS6/NTMT1/MKI67/INCENP/DSN1/MTCL2/NCAPD3/CENPU/HAUS1/SPC25/CENPH/SMARCA5/SYCP2L/HNRNPU/CCSAP/BUB3/SKA1/NSMCE2/SASS6/BUB1B/CCNB2/MIS18A/M1AP/PMF1/KASH5/RACGAP1/SYCE2/SPC24/SMC6/SGO2/SPICE1/SPDYA/KIF15/MAD2L1/PTTG1/CHMP4C/RAD21/DCAF13/WASHC5/SHOC1/SKA3/CENPN/CIAO2B/CIAO2A/PLK1/GOLGA2/CDT1/KIFC2/DDB1/SAC3D1/MAJIN/MTCL1/RGS14/BUB1/CENPX/CDK1/ESCO2/HDAC3/SMARCC1/ZWILCH/UBE2C/CENPS/CCNE2/RMI2/CHMP6/ANAPC2/TOP3A/HASPIN/GEN1/AURKB/RRS1/RCC2/SEPTIN1/RCC1/MEIOC/MAPK15/CEP97/SKA2/CHEK2/KMT5A/KNTC1/CDCA2/DRG1/KIF18B/SIRT7/CENPP/ARID2/SYCP2/TUBB/ANAPC7/TOP1/PRC1/CENPW/EHMT2/HSPA1B/HSPA1A/MSH5/BAG6/MZT1/LCMT1/MAP10/PTTG3P/NUP62/HAUS7/RNF212B/SYCE3/KIF4B/KIFC1/RAD21L1/HAUS5/LSM14A/TUBB8/UHRF1",269,269,429
"GO:0006261","GO:0006261","DNA-templated DNA replication","123/8420","169/18986",0.727810650887574,1.64111793559994,7.47329506781767,5.07832843637265e-14,6.48502541324788e-11,5.82457543607541e-11,"UPF1/LIG3/DBF4/WIZ/BRCA1/DDX11/POLA2/RTF2/PNKP/RRM2B/RFC2/RAD51/POLQ/POLD1/WDR18/MCM10/NUCKS1/POLB/MCM2/TIPIN/MCM6/CAMSAP3/POLD3/ZMPSTE24/ORC1/DYNLL1/ORC6/CDC45/CDC6/CDC7/CDC34/POLRMT/MCM5/POLE2/GINS1/POLA1/DNAJA3/NBN/CHRAC1/MCM4/CCNE1/LIG1/SSBP1/POLD2/TWNK/RECQL5/CDK2AP1/RFC5/TIMELESS/AICDA/ASF1A/MCM9/FBXO5/MCM3/ZRANB3/CDK2/WRNIP1/MGME1/MCM8/HELB/CHTF18/E2F8/GINS2/PCNA/RFC3/ORC3/KAT7/CDK9/DSCC1/HMGA1/ZNF365/DNA2/SMARCAL1/BARD1/BRCA2/TICRR/CARM1/PARP1/PRIM2/MMS22L/GINS4/TERF1/POLE3/EME1/DONSON/TONSL/RECQL4/LRWD1/DBF4B/TOPBP1/RFC4/ORC5/E2F7/MCM7/FAM111A/ENDOG/RRM1/CDT1/TK1/RFWD3/FEN1/CENPX/MUS81/EXO1/CENPS/CCNE2/POLD4/ATAD5/POLE/GEN1/GINS3/TRAIP/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/RPA4/MCIDAS/POLG2/RTEL1/DACH1",123,123,169
"GO:0140053","GO:0140053","mitochondrial gene expression","123/8420","169/18986",0.727810650887574,1.64111793559994,7.47329506781767,5.07832843637265e-14,6.48502541324788e-11,5.82457543607541e-11,"LARS2/TFB1M/TRIT1/MRPS10/MRPL43/MRPS35/IARS2/HSD17B10/TRNT1/MRPS34/MRPL22/MTIF2/MRPL28/MRPS33/MRPS18A/POLRMT/ALKBH1/MTG2/CDK5RAP1/EARS2/KAT8/SARS2/MRPL4/GARS1/PTCD1/MRPL32/TWNK/MTPAP/C1QBP/MRPL27/MRPL51/MRPL18/MRPL2/MRPS30/MRPL3/MRPL19/MRPL37/MRPS15/DARS2/MRPS14/MRPS2/METTL8/FASTKD3/AARS2/MRPS7/MRPS26/MTERF1/MRPS12/MRPL34/QRSL1/MTRES1/MRPL35/DAP3/MRPL44/TBRG4/TACO1/MRPL47/UQCC2/MRPL15/PNPT1/LRPPRC/FASTKD1/YARS2/MRPL24/TARS2/MRPL9/MRPS5/MRPS28/MTG1/MRPL49/RMND1/MTERF3/SUPV3L1/MALSU1/RPUSD3/MRPL17/TFB2M/MRPL55/GFM2/FASTK/TRUB2/MRPL58/GFM1/HARS1/MRPL36/TEFM/MRPL13/CHCHD1/MRPL52/MRPL57/TRMT10C/MRPL11/ANGEL2/MRPL48/AURKAIP1/PUS1/TUFM/GADD45GIP1/MRPL14/MRPS23/MRPS11/MRPL41/MRPS16/SHMT2/NGRN/MRPL54/COA3/MRPL30/MRPL40/MRPL21/MRPL42/MRPL38/MRPS18B/MRPL23/FASTKD5/MRPS17/MRPL20/MPV17L2/GATC/MRPL46/MRPL12/MRPS21/RCC1L",123,123,169
"GO:0016072","GO:0016072","rRNA metabolic process","177/8420","268/18986",0.66044776119403,1.48922341971851,7.20030607241078,4.87284890701391e-13,4.49812231717012e-10,4.04002314370735e-10,"LAS1L/REXO5/RPUSD1/TSR3/UTP18/DDX11/TFB1M/MRTO4/NOP58/USP36/WDR3/WDR18/RRP15/TCOF1/BUD23/EXOSC7/GTF3C1/EXOSC5/REXO1/WBP11/AK6/NOP14/XRN2/MACROH2A2/SMARCB1/PES1/SNU13/NOP56/SUV39H1/PIN4/PIH1D1/ERCC2/POP4/RPS16/RPS19/DDX49/EXOSC3/NPM3/GTPBP4/FTSJ3/UTP6/GAR1/NOP2/PAK1IP1/BYSL/DROSHA/BRIX1/MACROH2A1/RRP9/NCL/GTF3C2/RPS15/WDR75/TAF1B/NOL10/RPF1/ZNHIT6/EBNA1BP2/ERI3/NSUN4/UTP25/POLR1G/HEATR1/WDR55/TENT4B/GTF3A/MRM2/DDX54/TRIR/EXOSC9/DDX27/MPHOSPH10/RRP36/RIOK1/RPP40/GTF3C4/POLR1B/EMG1/IPPK/SMARCA4/KRI1/NGDN/NSUN5/EXOSC2/PPAN/DKC1/NOL11/WDR74/NAT10/MPHOSPH6/DDX56/IMP4/RPL35/WDR12/PELP1/TP53/EIF4A3/METTL25B/NVL/SDE2/LYAR/NHP2/ABT1/RPL7L1/UTP23/CDKN2A/REXO4/GTF3C5/PDCD11/PIH1D2/DHX37/RPP38/GTF3C6/NIFK/UTP14A/TSR2/DEDD/RRP1B/RRP1/SLX9/DEDD2/TFB2M/UTP15/DCAF13/NOL6/DDX21/BMS1/RPUSD2/NOLC1/MARS1/METTL15/PA2G4/EXOSC1/CHD7/METTL18/RPS21/MRM3/ISG20/POP7/TRMT112/SART1/IMP3/DDX10/RPP25/EXOSC4/RRS1/NOP10/YBEY/RPS17/UTP11/TBL3/NOC4L/BRF1/POLR1D/MAPT/SIRT7/FBLL1/RBM34/TRMT2B/RRP7A/ERI2/RPF2/NOL8/YTHDF2/NSUN5P1/NOL7/WDR46/RPS28/PWP2/EIF6/PRKDC/FDXACB1/BOP1/ZNHIT3/LOC102724159/DDX52/MRM1",177,177,268
"GO:0006302","GO:0006302","double-strand break repair","207/8420","323/18986",0.640866873065015,1.44507107506085,7.20188109992477,4.93137920441517e-13,4.49812231717012e-10,4.04002314370735e-10,"KDM1A/LIG3/MPND/DPF1/PPP5C/BRCA1/ERCC1/DDX11/WAS/PNKP/TDP1/RAD51/POLQ/SMARCD1/NUCKS1/RNF126/POLB/TRIP13/XRCC1/MCM2/SMARCE1/ACTB/MCM6/MLH1/ACTL6B/TOP2B/SIRT6/XRCC5/PALB2/RAD54L/FUS/FH/CDC45/MSH2/CDC7/BCL7C/SMARCB1/DMC1/MCM5/PPP4R3A/REC8/ZMYND8/MRGBP/CSNK2A1/ACTR5/POLA1/HTATSF1/NBN/MCM4/PIAS4/BABAM1/RPA3/DNTT/RAD51C/RECQL5/C1QBP/SMARCD2/NSD2/PRPF19/FOXM1/RAD51AP1/TIMELESS/CHD4/TDP2/MCM9/MCM3/RNF8/OGG1/PSMD14/SFPQ/MAD2L2/ARID1A/DCLRE1B/POLM/MORF4L2/DEK/AP5S1/MCM8/XRCC3/PRMT1/HELB/YEATS4/AUNIP/SMARCA4/SEM1/POT1/PARP2/GINS2/BRME1/FIGNL1/KMT5C/SLF1/TEX15/DPF2/HUS1/BRIP1/ACTL6A/ACTR2/ZNF365/DNA2/SMARCAL1/PARP9/ZGRF1/NABP2/BRCA2/WRAP53/TP53/POGZ/INTS3/PARP1/FANCD2/SKP2/MMS22L/CDCA5/GINS4/INIP/PAXX/CHEK1/PPP4C/HMGA2/XRCC4/DCLRE1C/EME1/NSMCE2/EYA3/ANKLE1/HSF2BP/UBQLN4/TONSL/RECQL4/KASH5/SENP3/SMC6/VPS72/PPP4R2/TOPBP1/DTX3L/MEAF6/RNF168/ATRIP/HMGB2/CGAS/RAD21/SPIDR/VCP/MCM7/PLK1/HDGFL2/OTUB1/MAJIN/NUDT16L1/RFWD3/FEN1/UBE2V2/NSMCE1/MGMT/ESCO2/RHNO1/SHLD1/MUS81/KDM2A/SMARCC1/SWSAP1/ERCC4/RMI2/RUVBL1/SWI5/TOP3A/MAGEF1/UBE2N/GEN1/MCMDC2/ZBTB7A/RMI1/GGN/MEIOC/FANCB/MTA1/RUVBL2/CHEK2/KMT5A/CIB1/HSF1/RAD51D/PARPBP/BRCC3/H2AX/SLX4/HUS1B/ARID2/TRRAP/XRCC6/XRCC2/RAD54B/BLM/EME2/DCLRE1A/RPA4/SPIRE2/PPP4R3C/AP5Z1/RAD21L1/SHLD3/PRKDC/CSNK2A3/RTEL1/UHRF1",207,207,323
"GO:0098813","GO:0098813","nuclear chromosome segregation","207/8420","324/18986",0.638888888888889,1.44061097915017,7.140929913078,7.69732934807077e-13,6.14343098592898e-10,5.51776977477494e-10,"MAD1L1/POLDIP2/BAZ1B/ZNF207/NCAPD2/AKAP8L/DPF1/TACC3/NCAPH2/CENPQ/SPDL1/TPR/NDC1/SMARCD1/ASPM/CDC42/TRIP13/SMC1A/CHFR/SMARCE1/ACTB/MLH1/SPAG5/ACTL6B/TOP2B/KIF22/NDC80/SEH1L/CHMP5/AURKA/TPX2/ANAPC5/BIRC5/NUDC/KIF4A/CDC6/CDC23/AAAS/BCL7C/MISP/SMARCB1/DMC1/REC8/MYBL2/KIF3B/MAPRE1/CHMP4B/FAM83D/CENPI/RAB11A/CCDC61/AKAP8/CCNE1/PPP2R1A/BCCIP/KPNB1/SMARCD2/NCAPG/ANAPC15/FBXO5/TTK/IK/SMC4/ECT2/TTL/ACTR3/WRAP73/MAD2L2/CDC20/NEK2/NSL1/ARID1A/CENPF/KIF14/NEK6/TEX11/TEX14/NCAPH/MND1/KIF18A/ZWINT/CENPK/MAD2L1BP/XRCC3/DLGAP5/SMARCA4/KNSTRN/SGO1/MAP1S/CHMP2A/CHMP1A/TUBG1/PSMC3IP/TOP2A/RAN/TEX15/DPF2/CCNB1/PSRC1/CDCA8/ESPL1/BRIP1/ACTL6A/C9orf78/SMC2/NUSAP1/KIF23/KNL1/ACTR2/KIF11/CENPE/PRICKLE1/ANAPC11/P3H4/KIF2C/MAEL/NUF2/HORMAD1/FANCD2/DYNC1LI1/BOD1/CDCA5/NCAPG2/TERF1/INCENP/DSN1/NCAPD3/SPC25/SMARCA5/SYCP2L/HNRNPU/CCSAP/BUB3/SKA1/NSMCE2/BUB1B/CCNB2/M1AP/PMF1/KASH5/RACGAP1/SYCE2/SPC24/SPICE1/SPDYA/KIF15/MAD2L1/PTTG1/CHMP4C/RAD21/DCAF13/WASHC5/SHOC1/SKA3/PLK1/GOLGA2/CDT1/KIFC2/DDB1/MAJIN/BUB1/CDK1/SMARCC1/ZWILCH/UBE2C/CCNE2/RMI2/CHMP6/ANAPC2/HASPIN/GEN1/AURKB/RRS1/RCC2/SEPTIN1/RCC1/MEIOC/MAPK15/CEP97/SKA2/CHEK2/KMT5A/KNTC1/DRG1/KIF18B/SIRT7/ARID2/SYCP2/ANAPC7/PRC1/EHMT2/HSPA1B/HSPA1A/MSH5/BAG6/MZT1/LCMT1/MAP10/PTTG3P/NUP62/RNF212B/SYCE3/KIF4B/KIFC1/LSM14A/TUBB8/UHRF1",207,207,324
"GO:0042254","GO:0042254","ribosome biogenesis","203/8420","317/18986",0.640378548895899,1.44396996785481,7.11588203763082,9.21723232462101e-13,6.53911426585613e-10,5.8731557549164e-10,"LAS1L/REXO5/RPUSD1/TSR3/UTP18/TFB1M/RPL26L1/LSG1/NOP16/MRTO4/NOP58/USP36/WDR3/WDR18/DHX29/RRP15/BUD23/EXOSC7/EXOSC5/XRCC5/REXO1/XPO1/WBP11/AK6/RRN3/NOP14/XRN2/PES1/SNU13/MCAT/CINP/MTG2/NOP56/SUV39H1/PIN4/PIH1D1/ERCC2/POP4/RPS16/RPS19/GRWD1/DDX49/EXOSC3/NPM3/GTPBP4/C1QBP/FTSJ3/UTP6/GAR1/NOP2/PAK1IP1/BYSL/DROSHA/BRIX1/RRP9/RPS15/WDR75/NOL10/PNO1/RPF1/ZNHIT6/EBNA1BP2/ERI3/NSUN4/UTP25/HEATR1/WDR55/TENT4B/GTF3A/MRPS2/MRM2/DDX54/EXOSC9/DDX27/MPHOSPH10/RRP36/RIOK1/RPP40/MRPS7/DDX31/EMG1/KRI1/NGDN/GNL3L/NSUN5/EXOSC2/PPAN/DKC1/NOL11/DHX30/RAN/ERAL1/WDR74/GNL2/NAT10/LTV1/MPHOSPH6/URB2/DDX56/IMP4/RPL35/WDR12/CUL4A/EFL1/PELP1/EIF4A3/METTL25B/ISG20L2/C1orf131/NVL/SDE2/LYAR/AFG2A/NHP2/ABT1/RPL7L1/UTP23/CDKN2A/SURF6/REXO4/PDCD11/LTO1/PIH1D2/DHX37/RPP38/HEATR3/MTERF3/UTP14A/MALSU1/EIF5B/TSR2/RRP1B/RRP1/SLX9/TFB2M/UTP15/DCAF13/NOL6/DDX21/BMS1/RPUSD2/NOLC1/RPSA/METTL15/PA2G4/EXOSC1/CHD7/AFG2B/METTL18/RPS21/MRM3/ISG20/POP7/RPL38/TRMT112/ZNF622/SART1/RBIS/IMP3/DDX10/RPP25/EXOSC4/RRS1/NPM1/NOP10/YBEY/VCX/NGRN/RPS17/DDX28/RBM10/UTP11/TBL3/NOC4L/RPS19BP1/SIRT7/FBLL1/RBM34/TRMT2B/NOC2L/RRP7A/ERI2/RPF2/NOL8/SDAD1/YTHDF2/TMA16/NSUN5P1/NOL7/WDR46/RPS28/PWP2/EIF6/PRKDC/MPV17L2/FDXACB1/BOP1/ZNHIT3/RCC1L/LOC102724159/AATF/DDX52/MRM1",203,203,317
"GO:0000280","GO:0000280","nuclear division","274/8420","451/18986",0.607538802660754,1.36992063032269,7.09751912556374,1.0577541136428e-12,6.75376001560931e-10,6.06594148539579e-10,"MAD1L1/POLDIP2/BAZ1B/ZNF207/NCAPD2/AKAP8L/ANLN/SPAST/NCAPH2/SPDL1/CUL7/TPR/RAD51/NDC1/CTDP1/ASPM/CDC42/TRIP13/SMC1A/CHFR/NDE1/MLH1/SPAG5/TOP2B/KIF22/NDC80/SEH1L/RAD54L/CHMP5/AURKA/TPX2/NSFL1C/ANAPC5/BIRC5/NUDC/KIF4A/DAZL/CDC23/AAAS/MISP/RANBP1/DMC1/PRMT5/REC8/MYBL2/BMP7/CDC25B/KIF3B/MAPRE1/CHMP4B/CENPI/SMPD3/UBE2I/RAB11A/CCDC61/AKAP8/CCNE1/FZR1/TGFB1/PPP2R1A/BCCIP/UBE2S/RAD51C/KPNB1/PPP1R9B/NCAPG/ANAPC15/RAD51AP1/CDKN1B/FBXO5/TTK/IK/RAD1/SMC4/WNT5A/ACTR3/WRAP73/MAD2L2/CDC20/NEK2/NSL1/CENPF/KIF14/TEX11/MASTL/TEX14/NCAPH/MND1/KIF18A/TAF1L/ZWINT/CENPK/CKS2/MAD2L1BP/KLHDC3/XRCC3/DLGAP5/HSPA2/PIN1/PKMYT1/KNSTRN/SGO1/CEP85/CHMP2A/CHMP1A/TUBG1/PSMC3IP/TOP2A/BRME1/RAN/FIGNL1/TESMIN/CCNA1/TEX15/CCNB1/PSRC1/CDCA8/ESPL1/BORA/BRIP1/C9orf78/SMC2/DMRT1/NUSAP1/KIF23/KNL1/BRDT/ACTR2/KIF11/KIF20B/CENPE/PRICKLE1/BRCA2/TOM1L1/ANAPC11/P3H4/DMRTC2/DNMT3L/KIF2C/MAEL/NUF2/HORMAD1/FANCD2/DYNC1LI1/BOD1/CDCA5/STRA8/NCAPG2/TERF1/MKI67/INCENP/CHEK1/NCAPD3/SPC25/DDX4/BCL2L11/SMARCA5/SYCP2L/HNRNPU/CCSAP/ASZ1/BUB3/SKA1/EME1/FBXO43/NSMCE2/BUB1B/CCNB2/CDC25C/FBXW5/M1AP/ANKLE1/HSF2BP/KASH5/RACGAP1/SYCE2/SPC24/WNT4/BROX/SPICE1/SPDYA/KIF15/MAD2L1/PTTG1/CHMP4C/RAD21/DCAF13/WASHC5/SHOC1/SKA3/PLK1/GOLGA2/CDT1/DAPK3/KIFC2/DDB1/MAJIN/REEP4/ING2/BUB1/CENPX/CDK1/UBB/NME6/MTBP/MUS81/TOP6BL/TDRD12/ZWILCH/UBE2C/CENPS/CCNE2/BANF1/ERCC4/AURKAIP1/CHMP6/HSF5/SPHK1/CNTD1/ANKLE2/HASPIN/GEN1/RMI1/AURKB/RRS1/CALR/SEPTIN1/RCC1/MEIOC/MAPK15/TDRKH/TEX19/CEP97/EPGN/SKA2/CHEK2/KMT5A/KNTC1/CDCA2/RAD51D/PSMD13/MYBL1/DRG1/KIF18B/SIRT7/FANCA/SLX4/SYCP2/ANAPC7/RAD54B/EME2/PRC1/EHMT2/HSPA1B/HSPA1A/MSH5/BAG6/MZT1/SPIRE2/LCMT1/MAP10/PTTG3P/NUP62/UBXN2B/RNF212B/SYCE3/KIF4B/TNF/MEIOSIN/KIFC1/PDXP/LSM14A/TUBB8/UHRF1",274,274,451
